run_id,model_guess,sentence,human_buzz,model_buzz,human_correctness,model_correctness,qid
1,Arrangement in Grey and Black No. 1,"In a painting named for one of these figures, an amorphous grey shape is created by four turquoise chairs, one of which holds a small dog.",N/A,"In a painting named for one of these figures, an amorphous grey shape is created by",N/A,False,117
4,N/A,"A woman clad in a dress with white, green, and purple stripes washes one of these figures' feet in a basin in a painting named for this figure's Bath.","A woman clad in a dress with white, green, and purple stripes",N/A,False,N/A,117
1,Ionic,"A compound abbreviated EMIM acts as the base of many liquids described by this adjective, which themselves can be used as an alternative to traditional deep eutectic solvents.",N/A,A compound abbreviated EMIM acts as the base of many liquids described by this,N/A,True,189
2,Coins,"In a 1963 refutation to Plato's account of knowledge as justified true belief, Smith correctly believes that an employer will hire someone possessing a certain number of these objects.",N/A,In,N/A,True,158
2,Nineveh,"This city is confusingly described as taking three days to cross in one text, which ends by comparing mercy to a plant with mercy to its people and animals.",N/A,"This city is confusingly described as taking three days to cross in one text, which",N/A,True,140
2,The Yellow Wallpaper,"In this story, a woman asks if her husband would prefer her to be ugly and loyal or beautiful and unfaithful.",N/A,"In this story, a woman asks if her husband would prefer",N/A,False,19
4,N/A,"For 10 points, name this story from the Canterbury Tales in which a woman from the title city describes a knight learning that sovereignty is ""what women want most.""","For 10 points, name this story from the Canterbury Tales",N/A,True,N/A,19
2,Coriolis effect,That force named for this person is proportional to 'omega dot cross r'.,N/A,That force named for this person is proportional to,N/A,False,201
2,N/A,That force named for this person is proportional to 'omega dot cross r'.,That force named for this person is proportional to 'omega,N/A,False,N/A,201
1,Knights Templar,This group brought the plague during a campaign of destruction in the Hunger War.,N/A,This group brought the plague during a campaign,N/A,False,63
3,Arabic,"A poem in this language describes how no one ""dared to look"" at Mary during the Crucifixion.",N/A,A poem in this language describes how no one,N/A,False,31
3,N/A,"A poem in this language describes how no one ""dared to look"" at Mary during the Crucifixion.","A poem in this language describes how no one ""dared",N/A,False,N/A,31
2,Jamaica,A sprinter from this country finished behind Gabby Thomas in the 200 meters and won the gold medal in the women's 100 meters at the 2024 Olympics.,N/A,A sprinter from this country finished behind Gabby Thomas in the 200 meters and won,N/A,False,221
4,N/A,"For 10 points, name this Caribbean island country home to Arthur Lewis, Julien Alfred, and Derek Walcott.",For,N/A,False,N/A,221
1,Greenpeace,"An agent of the General Directorate of External Security was involved in an incident victimizing this group, which forced an Armed Forces Minister to resign.",N/A,An agent of the General Directorate of External,N/A,True,88
1,Phytochrome,"Expression and subsequent inhibition of three sets of genes labeled ""A,"" ""B,"" and ""C"" are used to model how regions within these structures are able to differentiate.",N/A,Expression and subsequent inhibition of three,N/A,False,180
1,N/A,"Expression and subsequent inhibition of three sets of genes labeled ""A,"" ""B,"" and ""C"" are used to model how regions within these structures are able to differentiate.",Expression and subsequent inhibition of three sets of,N/A,False,N/A,180
2,Paris,One building in this city is topped with a red windmill.,N/A,One,N/A,True,131
2,American Civil War,The daughter of a chaplain in this war owns a pet rat and inherits an estate that eventually becomes a boys' school.,N/A,The,N/A,True,7
1,Nuclear power plants,The contents of these structures' cells are layered into lifts with a designed grade.,N/A,The,N/A,False,229
1,Characteristic (mathematics),The set where the initial data is specified must be nowhere parallel to constructs named for this word to be able to fully determine the solution to a PDE.,N/A,The set where the initial data is specified must be,N/A,True,211
1,Roanoke Colony,"Financial issues at this location, as well as discussions of potato farming, appear in a report of ""New Found Land.""",N/A,"Financial issues at this location, as well as",N/A,True,59
1,Twenty Love Poems and a Song of Despair,"This is the second adjective in the title of a poem that opens, ""I will die in Paris with a rainstorm, / on a day I already remember.""",N/A,This is the second adjective in the title of,N/A,False,43
1,N/A,"This is the second adjective in the title of a poem that opens, ""I will die in Paris with a rainstorm, / on a day I already remember.""",This is the second adjective in the title of a poem,N/A,False,N/A,43
1,Palm oil,"The oldest example of the use of this resource by humans was in a Zambian structure at Kalambo, where signs of using an adze on it were observed.",N/A,The oldest example of the use of this resource by,N/A,False,81
2,N/A,"Punt primarily traded gold, resins, ivory, and this product, some of which was brought to Egypt by Hatshepsut.","Punt primarily traded gold,",N/A,True,N/A,81
0,John Adams (composer),"The first and third movements of a piece by this composer quote the Book of Daniel, while the second and fourth center on the kidnapped reporter Daniel Pearl.",N/A,"The first and third movements of a piece by this composer quote the Book of Daniel, while the second and fourth center on the kidnapped reporter Daniel Pearl.",N/A,False,108
1,N/A,The Pentecostal preacher Brother Walter appears in a piece by this composer that repeats the title phrase for 10 minutes.,The,N/A,True,N/A,108
1,India,This country's lunisolar calendar is spiritually explored in a text whose title claims omniscience.,N/A,This country's lunisolar calendar is spiritually explored,N/A,False,167
1,N/A,This country's lunisolar calendar is spiritually explored in a text whose title claims omniscience.,This country's lunisolar calendar is spiritually explored in a,N/A,False,N/A,167
