question,answer,Correct
1,Franz Kafka,Correct
2,Israel Defense Forces (IDF),Correct
3,bones,Correct
4,evolution,Correct
5,Otto,Correct
6,Monogatari,Correct
7,totalitarianism,Correct
8,Mexican-American War,Correct
9,A Midsummer Night's Dream,Correct
10,chirality,Correct
11,wheat,Correct
12,Palladium,Correct
13,Pablo Picasso,Correct
14,old age,Correct
15,Wicca,Correct
16,dimension,Correct
17,Junot Díaz,Correct
18,Knickerbocker,Correct
19,Ireland,Correct
20,Draco,Correct
21,conic sections,Correct
22,Nathaniel Hawthorne,Correct
23,Vincent van Gogh,Correct
24,Berbers,Correct
25,France,Correct
26,necklace,Correct
27,pelvis,Correct
28,Martin Heidegger,Correct
29,The Satanic Verses incident,Correct
30,Blaise Pascal,Correct
31,The Monkey's Paw,Correct
32,ships,Correct
33,NCAA,Incorrect
34,putsch,Correct
35,drums,Correct
36,Java,Correct
37,Russia,Correct
38,Fionn mac Cumhaill,Correct
39,Little Rock,Correct
40,Neil Simon,Correct
41,Hamlet,Correct
42,cat,Correct
43,thin layer chromatography,Incorrect
44,Laos,Correct
45,Sergei Rachmaninoff,Correct
46,Okinawa,Correct
47,Kurt Vonnegut,Correct
48,Campbell's Soup Cans,Correct
49,Franklin D. Roosevelt,Correct
50,Euclid,Correct
51,Joseon Dynasty,Correct
52,speech,Correct
53,polymerization reactions,Correct
54,knight,Correct
55,Tutsi,Correct
56,Charles Darwin,Correct
57,electromagnetic radiation,Correct
58,Katherine Mansfield,Correct
59,da Gama family,Correct
60,double bass,Correct
61,Lollardy,Correct
62,gas station,Correct
63,measuring the Earth's circumference,Incorrect
64,nitrogen fixation,Correct
65,Set,Correct
66,The Wife of Bath's Tale,Correct
67,Artemis,Correct
68,Marie de' Medici,Correct
69,Gupta Empire,Correct
