id,answer,sent,text
165,Ming Dynasty,0,"这个王朝被前邮政工人李自成领的叛乱推翻了。
"
165,Ming Dynasty,1,朱元璋创立了这个王朝，后来成为洪武皇帝。
165,Ming Dynasty,2,"一个间谍网络是由
这个朝代的永乐皇帝，在穆斯林的指挥下派遣了一系列的宝船队
宦官郑和。"
165,Ming Dynasty,3,这王朝是汉人统治的最后一个王朝。
165,Ming Dynasty,4,为了10 分，这是元朝之后的中国倒数第二个王朝，以花瓶闻名。
166,Nixon in China,0,这部
166,Nixon in China,1,歌剧中的一个角色提出了这样一个问题：“我们所做的事情有多少是好的？”
166,Nixon in China,2,在最后的咏叹调中，“我老了，无法入睡。”
166,Nixon in China,3,这部
166,Nixon in China,4,歌剧中唱着《三戒八项》，在另一个场景中，一个角色停止了《红色娘子军》的表演，去帮助一位她认为正在被鞭打致死的农家女孩。
166,Nixon in China,5,在这部歌剧的开头，一架名为“76 年精神”的飞机降落，而这部歌剧的第三幕则有两个角色在“主席跳舞”中表演狐步舞。
166,Nixon in China,6, 
166,Nixon in China,7,"为了10 分，这是关于美国总统访问毛泽东领导的国家的歌剧, 写于John Adams。"
167,Three Body Problem,0,这部
167,Three Body Problem,1,小说的第一部续集以一个故事开头，其中一只“棕色蚂蚁”避开了它“认识了亿万年”的蜘蛛网。
167,Three Body Problem,2,这部小说的续集描述了“蚊子舰队”的形成，并讲述了四名被选中参加“面壁者计划”的人的故事。
167,Three Body Problem,3,这部小说本身描述了对一艘名为“审判日”的船只的袭击，袭击杀死了古怪的迈克·埃文斯。
167,Three Body Problem,4,在描述了诺伯特·韦纳如何在与海盗作战时死去后，约翰·冯·诺依曼为皇帝制造了一台“人类计算机”； 之所以会发生这种情况，是因为这是一款游戏，诺伊曼是众多化身之一，他向主角传授一种文明的知识，该文明会“脱水”自身，以便能够生存（*）
167,Three Body Problem,5,“混乱的时代”。
167,Three Body Problem,6,《黑暗森林》是这部小说的第一部续集，是作者的《地球过去的记忆》三部曲的开篇。
167,Three Body Problem,7,外星人在这部小说中开始入侵地球，故事背景从文革转移到现代北京。
167,Three Body Problem,8,"为了10 分，这是中国第一位得Hugo奖的小说, 写于刘慈欣。"
168,Mulan,0,在 17 世纪的故事中，这个人为了拯救一名叛军领袖的生命，与叛军领袖的女儿一起赴死。
168,Mulan,1,在另一个帐户中，此人打趣说不可能区分两只奔跑的兔子。
168,Mulan,2,1976 年的重述中，在“白虎”一章中，这个人露出了伤痕累累的背部，并将一名邪恶男爵斩首。
168,Mulan,3,经过 12 年的征战，此人只要求一匹马回家，却拒绝了 (*) 朝廷官员的任命。
168,Mulan,4,当征兵通知中提到此人年迈的父亲时，此人买了一匹战马，在一首同名的北魏歌谣中出发去与野蛮人作战。
168,Mulan,5,为了10 分，这个人是中国传奇军人，一位女扮男装的战士。
169,Crazy Rich Asians,0,这部
169,Crazy Rich Asians,1,"电影中的一位女演员即兴创作了一个场景，其中两个角色一边模仿鸡一边讨论
埃莉诺的行动。"
169,Crazy Rich Asians,2,"歌手基娜·格兰尼斯 (Kina Grannis) 翻唱了歌曲《Can't Help Falling in Love》
影片中科林和阿拉明塔的婚礼。"
169,Crazy Rich Asians,3,"(*) 新加坡作为本片的主要背景，
雷切尔·朱发现尼克·杨的家人就是标题人物。"
169,Crazy Rich Asians,4,"请说出这部 2018 年电影的名称，满分 10 分
根据凯文的小说改编，由全亚洲演员主演，包括亨利·戈尔丁、奥卡菲娜和康斯坦斯·吴
关。"
