sentence,model_correctness,model_guess,run_id,qid,model_buzz
"For 10 points, name this genre of a J.S. Bach piece named for St. Matthew.",True,Oratorio,5,101,"For 10 points, name this genre of a J.S. Bach piece named for St. Matthew."
Functions with the 'square' form of this property form the only L⋅p space that is a Hilbert space.,False,Convergence (mathematics),1,209,Functions with the 'square' form of this property
"That woman, who resembles a childhood friend, teaches the foxtrot to this novel's narrator.",True,Steppenwolf (novel),2,25,"That woman, who resembles a childhood friend, teaches the foxtrot to this novel's narrator."
A battle fought on this large body of water included the destruction of a fort partly named for a crown.,True,Lake Champlain,1,50,A battle fought on this large body of water included
Graffiti in this city often depicts a dog with a red bandanna around its neck named for attacking cops during 2011 protests.,True,Santiago,1,219,Graffiti in this city often depicts a dog with a red bandanna around its neck named for attacking cops during 2011 protests.
Production of one type of these objects is controlled by Rupert Murdoch through Zondervan.,True,Bible translations,2,141,Production
"A guerrilla group from this country was responsible for killing an American Chief of Public Safety who had used the phrase ""the precise pain, in the precise place, in the precise amount"" to train this country's torturers.",True,Uruguay,0,75,"A guerrilla group from this country was responsible for killing an American Chief of Public Safety who had used the phrase ""the precise pain, in the precise place, in the precise amount"" to"
Planar examples of these constructs can be analyzed using mesh analysis.,True,Graphs (mathematics),1,197,Planar examples of these constructs can be
"Risk attitudes can be determined by analyzing the sign of the second derivative of these functions, which are constant along indifference curves.",True,Utility,3,163,Risk
A character in this story uses the metaphor of a riddle about chess not being able to use the word chess.,False,Dream of the Red Chamber,1,42,A character in this story uses the metaphor of a riddle about chess not being able
"Perfect"" systems that maximize this quantity are limited only by diffusion.",False,Enzyme kinetics,3,192,"Perfect"""
The marriage of Charles Stuart's wife was supposed to be when a sequence of works depicting a person born into this family was completed by a Flemish artist.,False,House of Guise,3,65,The
Flow cytometry is followed by FISH to quantify the length of these G-quadruplex-rich structures.,True,Telomere,1,169,Flow cytometry is followed by FISH to quantify the
A horned Quranic figure who builds a set of gates is most often identified with this figure.,True,Alexander the Great,2,145,A horned Quranic figure who builds a set of gates is most often identified with this
"During this type of event, one woman wore an enormous red quilted, feathered dress, while a man carried a model of his own head.",False,Fashion show,2,130,During
"That essay by this author notes that ""voluntarily"" and ""involuntarily"" rarely apply to the same verbs and considers differences between the title concept and ""justifications.""",False,Michel Foucault,1,154,"That essay by this author notes that ""voluntarily"" and"
This man's daughter compared a certain device to a Jacquard Machine for its use of punch cards.,False,John Stuart Mill,3,89,This man's daughter compared a certain device to
That novel by this author draws on an incident from his country in which a 1940s surrealist poet was revealed to be a hoax played on the magazine Angry Penguins.,True,Peter Carey (novelist),1,18,That novel by this author draws on an incident from his country in which a 1940s surrealist poet was revealed to be
One painting shows this man painting a woman from behind while both of them are shown in a mirror.,True,Pablo Picasso,1,113,One painting shows this man painting a woman
"A woman says, ""they did something to me in Hospital, they poisoned me"" in a poem titled for this text.",False,Joseph Conrad,1,4,"A woman says, ""they did something to me in"
