page,evidence,final,question,weight,sentence,word
J. B. S. Haldane,"{'confidence': -0.012387527485355555, 'final': False}",False,135,-0.01,0,7
Albert Einstein,"{'confidence': -0.0016356448879999998, 'final': True}",True,135,-0.00,0,13
Albert Einstein,"{'confidence': -0.004500147265000001, 'final': False}",False,135,-0.00,0,18
Robert Koch,"{'confidence': -0.221659055129, 'final': False}",False,135,-0.22,0,24
Michel Foucault,"{'confidence': -9.39021242e-06, 'final': True}",True,135,-0.00,0,27
Michel Foucault,"{'confidence': -0.012076767182236001, 'final': False}",False,135,-0.01,1,8
Sigmund Freud,"{'confidence': -0.0032866264081625003, 'final': False}",False,135,-0.00,1,15
Sigmund Freud,"{'confidence': -0.0026967885609075, 'final': True}",True,135,-0.00,1,21
Sigmund Freud,"{'confidence': -0.0019598375191374998, 'final': True}",True,135,-0.00,1,27
Nikola Tesla,"{'confidence': -0.1053697796846, 'final': False}",False,135,-0.11,1,28
Nikola Tesla,"{'confidence': -0.19237513620866, 'final': False}",False,135,-0.19,2,8
Magnus Hirschfeld,"{'confidence': -0.19091590098056002, 'final': False}",False,135,-0.19,2,12
Magnus Hirschfeld,"{'confidence': -0.07489357206908, 'final': False}",False,135,-0.07,2,17
Magnus Hirschfeld,"{'confidence': -0.048480367596668, 'final': False}",False,135,-0.05,2,25
Magnus Hirschfeld,"{'confidence': -0.001162584705, 'final': True}",True,135,-0.00,2,30
Magnus Hirschfeld,"{'confidence': -0.07170249014247002, 'final': False}",False,135,-0.07,3,5
Magnus Hirschfeld,"{'confidence': -1.471261959e-05, 'final': True}",True,135,-0.00,3,11
Magnus Hirschfeld,"{'confidence': -1.561493348e-06, 'final': True}",True,135,-0.00,3,16
Magnus Hirschfeld,"{'confidence': -4.7377861e-07, 'final': True}",True,135,-0.00,3,20
Magnus Hirschfeld,"{'confidence': -8.224306699999999e-07, 'final': True}",True,135,-0.00,3,22
Magnus Hirschfeld,"{'confidence': -5.88562473e-06, 'final': True}",True,135,-0.00,4,8
Magnus Hirschfeld,"{'confidence': -1.0033912530000001e-05, 'final': True}",True,135,-0.00,4,12
Magnus Hirschfeld,"{'confidence': -1.8386232160000002e-06, 'final': True}",True,135,-0.00,5,8
Magnus Hirschfeld,"{'confidence': -2.46744126e-06, 'final': True}",True,135,-0.00,5,11
Magnus Hirschfeld,"{'confidence': -5.1250113e-07, 'final': True}",True,135,-0.00,5,17
Magnus Hirschfeld,"{'confidence': -5.12501136e-07, 'final': True}",True,135,-0.00,5,24
Magnus Hirschfeld,"{'confidence': -1.6384906e-07, 'final': True}",True,135,-0.00,5,29
Magnus Hirschfeld,"{'confidence': -1.6384906e-07, 'final': True}",True,135,-0.00,5,29
Göbekli Tepe,"{'confidence': -0.1689687078274, 'final': False}",False,136,-0.17,0,6
Archaeology,"{'confidence': -0.49767547693633335, 'final': False}",False,136,-0.50,0,11
Cave,"{'confidence': -0.11628396032, 'final': False}",False,136,-0.12,0,17
Oven,"{'confidence': -0.15236247, 'final': False}",False,136,-0.15,0,18
Battle of Cynoscephalae,"{'confidence': -0.0275577950248, 'final': False}",False,136,-0.03,1,6
Corbeddu Cave,"{'confidence': -0.196106386746425, 'final': False}",False,136,-0.20,1,14
Karst,"{'confidence': -0.108794435, 'final': False}",False,136,-0.11,1,19
Phalanx,"{'confidence': -0.0010332288943333335, 'final': True}",True,136,-0.00,1,23
Phalanx,"{'confidence': -0.08880363424575, 'final': False}",False,136,-0.09,1,28
Phalanx,"{'confidence': -0.0043304177968, 'final': False}",False,136,-0.00,1,33
Phalanx,"{'confidence': -0.1242404358109075, 'final': False}",False,136,-0.12,2,8
Phalanx,"{'confidence': -0.14794363597141, 'final': False}",False,136,-0.15,2,14
Phalanx,"{'confidence': -1.2416426333333334e-06, 'final': True}",True,136,-0.00,2,21
Phalanx,"{'confidence': -7.250933833333333e-07, 'final': True}",True,136,-0.00,2,22
Phalanx,"{'confidence': -1.9320615666666664e-06, 'final': True}",True,136,-0.00,3,7
Phalanx,"{'confidence': -2.9627046666666668e-05, 'final': True}",True,136,-0.00,3,13
Phalanx,"{'confidence': -1.9320615666666664e-06, 'final': True}",True,136,-0.00,3,15
Phalanx,"{'confidence': -0.05046486712375, 'final': False}",False,136,-0.05,4,7
Phalanx,"{'confidence': -1.4949814666666668e-06, 'final': True}",True,136,-0.00,4,11
