question,weight,page,final,sentence,word,evidence
120,-0.02,Ralph Waldo Emerson,False,0,7,"{'confidence': -0.02159735078773, 'final': False}"
120,-0.10,Cousin Eddie,False,0,14,"{'confidence': -0.09943535922355, 'final': False}"
120,-0.41,John Belushi,False,0,20,"{'confidence': -0.4083083412042166, 'final': False}"
120,-0.32,John Goodman,False,0,27,"{'confidence': -0.32098538, 'final': False}"
120,-0.00,Randy Quaid,False,0,33,"{'confidence': -0.00399478371865, 'final': False}"
120,-0.00,Randy Quaid,True,0,40,"{'confidence': -0.00030729779142499997, 'final': True}"
120,-0.00,Randy Quaid,True,0,40,"{'confidence': -0.0002366851984125, 'final': True}"
120,-0.00,Randy Quaid,True,1,7,"{'confidence': -0.00011644463, 'final': True}"
120,-0.00,Randy Quaid,True,1,15,"{'confidence': -5.181564075e-06, 'final': True}"
120,-0.00,Lloyd Bridges,True,1,24,"{'confidence': -5.3369709099999994e-05, 'final': True}"
120,-0.07,Randy Quaid,False,1,30,"{'confidence': -0.0721235504127425, 'final': False}"
120,-0.00,Randy Quaid,True,1,37,"{'confidence': -0.000354730725, 'final': True}"
120,-0.00,Randy Quaid,True,1,44,"{'confidence': -1.2922399e-05, 'final': True}"
120,-0.00,Randy Quaid,True,1,44,"{'confidence': -2.1594465e-05, 'final': True}"
120,-0.00,Randy Quaid,True,2,7,"{'confidence': -0.0008308954781625, 'final': True}"
120,-0.00,Randy Quaid,True,2,12,"{'confidence': -1.5640816250000001e-07, 'final': True}"
120,-0.00,Randy Quaid,True,2,16,"{'confidence': -2.69772316625e-05, 'final': True}"
120,-0.00,Randy Quaid,True,3,8,"{'confidence': -0.0001987137, 'final': True}"
120,-0.01,Randy Quaid,False,3,14,"{'confidence': -0.009625457166874999, 'final': False}"
120,-0.00,Randy Quaid,True,3,18,"{'confidence': -6.0755686325e-05, 'final': True}"
120,-0.00,Randy Quaid,True,4,8,"{'confidence': -8.15791930825e-05, 'final': True}"
120,-0.00,Randy Quaid,True,4,13,"{'confidence': -7.82040825e-08, 'final': True}"
120,-0.00,Randy Quaid,True,4,17,"{'confidence': -1.08005e-07, 'final': True}"
120,-0.00,Randy Quaid,True,4,23,"{'confidence': -1.9740775e-07, 'final': True}"
120,-0.00,Randy Quaid,True,4,28,"{'confidence': -1.08005e-07, 'final': True}"
120,-0.00,Randy Quaid,True,4,30,"{'confidence': -1.378059125e-07, 'final': True}"
120,-0.00,Randy Quaid,True,4,30,"{'confidence': -1.378059125e-07, 'final': True}"
121,-0.00,Land Rover Defender,False,0,6,"{'confidence': -0.0005567947629, 'final': False}"
121,-0.00,Land Rover Defender,True,0,12,"{'confidence': -0.0006501936947666667, 'final': True}"
121,-0.01,Land Rover Defender,False,0,20,"{'confidence': -0.005009897654333333, 'final': False}"
121,-0.14,Star Fox (video game),False,0,25,"{'confidence': -0.13895147979398334, 'final': False}"
121,-0.05,Star Fox (video game),False,0,25,"{'confidence': -0.050122053281, 'final': False}"
121,-0.12,Starship Enterprise,False,1,7,"{'confidence': -0.1214470626, 'final': False}"
121,-0.08,Star Wars: X-wing (video game),False,1,13,"{'confidence': -0.07734557937633334, 'final': False}"
121,-0.20,Star Wars: X-wing (video game),False,1,18,"{'confidence': -0.20169902081233335, 'final': False}"
121,-0.08,Star Destroyer,False,1,24,"{'confidence': -0.08337367946666667, 'final': False}"
121,-0.33,Starship,False,1,29,"{'confidence': -0.3310412765, 'final': False}"
121,-0.16,TIE fighter,False,1,35,"{'confidence': -0.16040166373333334, 'final': False}"
121,-0.14,TIE fighter,False,1,36,"{'confidence': -0.14012788572666665, 'final': False}"
121,-0.34,TIE fighter,False,2,4,"{'confidence': -0.34242959150023333, 'final': False}"
121,-0.31,Star Wars: TIE fighter,False,2,11,"{'confidence': -0.31211127850000003, 'final': False}"
121,-0.28,TIE fighter,False,2,17,"{'confidence': -0.27961168126526664, 'final': False}"
121,-0.20,TIE fighter,False,2,22,"{'confidence': -0.19913035766666667, 'final': False}"
121,-0.17,TIE fighter,False,2,28,"{'confidence': -0.16574817409833334, 'final': False}"
121,-0.05,TIE fighter,False,2,34,"{'confidence': -0.04653641129653333, 'final': False}"
121,-0.08,TIE fighter,False,3,8,"{'confidence': -0.082324600025, 'final': False}"
121,-0.01,TIE fighter,False,3,14,"{'confidence': -0.010572819679466666, 'final': False}"
121,-0.19,TIE fighter,False,3,20,"{'confidence': -0.19056367724613332, 'final': False}"
121,-0.00,TIE fighter,False,3,25,"{'confidence': -0.0039162423591, 'final': False}"
121,-0.00,TIE fighter,False,3,27,"{'confidence': -0.004174428757883333, 'final': False}"
121,-0.01,TIE fighter,False,4,5,"{'confidence': -0.012307388836666667, 'final': False}"
121,-0.01,TIE fighter,False,4,12,"{'confidence': -0.00888925527855, 'final': False}"
121,-0.00,TIE fighter,False,4,17,"{'confidence': -0.004438375611776667, 'final': False}"
121,-0.02,TIE fighter,False,4,22,"{'confidence': -0.016200763221443332, 'final': False}"
121,-0.01,TIE fighter,False,4,26,"{'confidence': -0.01326747816135, 'final': False}"
121,-0.01,TIE fighter,False,4,26,"{'confidence': -0.01326747816135, 'final': False}"
122,-0.14,Intertitle,False,0,7,"{'confidence': -0.13571939827211, 'final': False}"
122,-0.12,(500) Days of Summer,False,0,13,"{'confidence': -0.12029040791114999, 'final': False}"
122,-0.22,(500) Days of Summer,False,0,17,"{'confidence': -0.21654731779372996, 'final': False}"
122,-0.03,(500) Days of Summer,False,0,21,"{'confidence': -0.027226862426024998, 'final': False}"
122,-0.08,(500) Days of Summer,False,1,8,"{'confidence': -0.07928712430958, 'final': False}"
122,-0.03,500 Days of Summer,False,1,15,"{'confidence': -0.031275637843367496, 'final': False}"
