weight,sentence,final,evidence,page,question,word
-0.00,0,False,"{'confidence': -0.00291437587355, 'final': False}",The Castle of Otranto,1,9
-0.27,0,False,"{'confidence': -0.272819123026975, 'final': False}",The Gold-Bug,1,15
-0.22,0,False,"{'confidence': -0.22344381232217997, 'final': False}",The Purloined Letter,1,22
-0.22,0,False,"{'confidence': -0.22341485841523334, 'final': False}",The Oval Portrait,1,29
-0.12,0,False,"{'confidence': -0.12225165504487999, 'final': False}",The Oval Portrait,1,35
-0.00,1,True,"{'confidence': -0.0013439944666666667, 'final': True}",The Oval Portrait,1,7
-0.09,1,False,"{'confidence': -0.09231675757454999, 'final': False}",The Oval Portrait,1,13
-0.11,1,False,"{'confidence': -0.1148396309031625, 'final': False}",Edgar Allan Poe,1,19
-0.24,1,False,"{'confidence': -0.244433653956, 'final': False}",Lifted Veil,1,25
-0.21,1,False,"{'confidence': -0.20608743868794166, 'final': False}",Lift (mathematics),1,31
-0.11,2,False,"{'confidence': -0.114496304134, 'final': False}",Lifted Veil,1,6
-0.19,2,False,"{'confidence': -0.18507848747427996, 'final': False}",Lift (force),1,14
-0.22,2,False,"{'confidence': -0.22350762269278, 'final': False}",Lift (force),1,20
-0.05,2,False,"{'confidence': -0.04984790867, 'final': False}",Veil,1,26
-0.00,2,True,"{'confidence': -0.00030409878500000005, 'final': True}",Veil,1,31
-0.00,2,True,"{'confidence': -0.00151492724, 'final': True}",Veil,1,38
-0.03,2,False,"{'confidence': -0.02764233465, 'final': False}",Veil,1,43
-0.02,2,False,"{'confidence': -0.019776511655000002, 'final': False}",Veil,1,49
-0.00,2,True,"{'confidence': -0.000351015547, 'final': True}",Veil,1,53
-0.00,2,True,"{'confidence': -0.000351015547, 'final': True}",Veil,1,53
-0.55,0,False,"{'confidence': -0.5475892351173333, 'final': False}",John Keats,2,5
-0.81,0,False,"{'confidence': -0.81308585, 'final': False}",None,2,12
-0.58,0,False,"{'confidence': -0.5817816, 'final': False}",None,2,17
-0.02,1,False,"{'confidence': -0.015010170755271668, 'final': False}",Samuel Taylor Coleridge,2,8
-0.00,1,True,"{'confidence': -1.4400666666666668e-07, 'final': True}",Langston Hughes,2,15
-0.00,1,True,"{'confidence': -1.6880966e-07, 'final': True}",Langston Hughes,2,20
-0.00,1,True,"{'confidence': -5.661552166666666e-07, 'final': True}",Langston Hughes,2,23
-0.00,2,True,"{'confidence': -2.0854421666666669e-07, 'final': True}",Langston Hughes,2,8
-0.00,2,True,"{'confidence': -6.453755e-08, 'final': True}",Langston Hughes,2,15
-0.00,2,True,"{'confidence': -2.2347576666666666e-07, 'final': True}",Langston Hughes,2,22
-0.00,2,True,"{'confidence': -2.2347576666666666e-07, 'final': True}",Langston Hughes,2,29
-0.00,2,True,"{'confidence': -2.0854421666666669e-07, 'final': True}",Langston Hughes,2,30
