ID,Statement Number,Word Count,Sentence Number,Chunk ID,Chunk,Answer,Confidence Score,Answered?
0,0,5,1," As the original ""Invisible Man"",",bd6e9016,Correct.,-1.2292411e-06,No
0,0,15,2," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film.",8413e450,Correct.,-6.3322285e-07,No
0,0,26,3," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters.",b844a04d,Correct.,-1.80286215e-06,No
0,0,39,4," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis,",5993ae51,Correct.,-2.75611825e-07,No
0,0,52,5," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer,",01179f22,"Um, actually, ""The Invisible Boy"" is not part of the ""Invisible Man"" franchise, and it does not feature Jack Griffin's great-grandson becoming invisible to fight an evil supercomputer. It is a standalone film with no familial connection to Griffin.",-0.13449506049973942,Yes
1,1,17,1," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme,",0740157c,Correct.,-5.140192e-07,No
1,1,29,2," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating.",5bffdf52,Correct.,-8.239860300000001e-06,No
1,1,31,3," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance,",f8b988e5,Correct.,-1.52725035e-06,No
1,1,41,4," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points,",a62b9d08,Correct.,-1.1100375e-06,No
1,1,54,5," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin.",f13bb453,Correct.,-3.948155e-07,No
1,1,76,6," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving.",8d067de4,"Um, actually, while the Mists of Ravenloft do magically prevent most characters and creatures from leaving Barovia, they are not explicitly described as a ""deadly fog."" Additionally, some exceptions to their effects exist, such as for certain powerful beings or individuals with specific abilities or items.",-0.3386197833063873,Yes
2,2,2,1," Before 2015,",267f803e,Correct.,-0.00021596784,No
2,2,25,2," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies,",fc752252,"Um, actually, the Holocron did not specifically apply to all officially licensed Star Wars movies in the same way as other media, as the movies were always considered the highest level of canon (G-canon) and were not subject to the broader hierarchy established for other Star Wars content.",-0.26858758891820694,Yes
3,3,4,1," In Resident Evil 4,",89b64322,Correct.,-0.00022657513625000002,No
3,3,21,2," In Resident Evil 4, pleayers will be shocked to learn that the cult members of a village are not actually zombies,",3b3449f1,Correct.,-4.5441732e-07,No
3,3,44,3," In Resident Evil 4, pleayers will be shocked to learn that the cult members of a village are not actually zombies, but actually hosts to parasitic organism known as ""Las Plagas"" which were developed by supporting protagonist Luis Sera and game antagonist Osmund Saddler.",e174e6b9,"Um, actually, Luis Sera did not develop Las Plagas; he conducted research on the parasites after their rediscovery but was not responsible for their creation. Similarly, Osmund Saddler did not develop Las Plagas; they are ancient organisms that he exploited to control others.",-0.2640204091053625,Yes
4,4,1,1," Earth--77013,",b9d94984,Correct.,-0.1259677046393,No
4,4,11,2," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip,",ff13e2de,Correct.,-3.3521365e-07,No
4,4,17,3," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains,",2ef32e05,Correct.,-1.1100375e-06,No
4,4,19,4," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9,",201ccbdb,Correct.,-3.948155e-07,No
4,4,33,5," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play,",4c8a164c,Correct.,-6.3322285e-07,No
4,4,35,6," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play, and Hugo,",9aa19c4b,Correct.,-7.524265e-07,No
4,4,44,7," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play, and Hugo, a butler who knocked Spider-Man unconscious with a brick.",f90180d8,Correct.,-3.3521365e-07,No
4,4,54,8," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play, and Hugo, a butler who knocked Spider-Man unconscious with a brick. Peter Parker also assumed the alternative identity Gown Man when,",7cea1692,"Um, actually, in Earth-77013, it is not depicted in the Amazing Spider-Man newspaper comic strip that Peter Parker assumes the alternative identity of ""Gown Man."" There is no canonical evidence of ""Gown Man,"" nor is it a documented alternative identity of Peter Parker.",-0.3134967080159806,Yes
5,5,19,1," While you probably know that Prince Adam uses the phrase ""By the Power of Greyskull"" to turn into He-Man,",711fa189,Correct.,-1.1279553200000001e-05,No
5,5,24,2," While you probably know that Prince Adam uses the phrase ""By the Power of Greyskull"" to turn into He-Man, you may not remember the",f7435c5e,Correct.,-6.42619115e-05,No
5,5,30,2," While you probably know that Prince Adam uses the phrase ""By the Power of Greyskull"" to turn into He-Man, you may not remember the phrase he uses to turn from",e6cef2f7,"Um, actually, Prince Adam does not use any specific phrase to turn back from He-Man into Prince Adam. The transformation back is usually implied or occurs without a catchphrase.",-0.22872078538283716,Yes
6,6,12,1," During the first season of Blaseball (the absurdist baseball simulation horror game),",6c5eea04,Correct.,-3.05450055e-06,No
6,6,19,2," During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball,",eb8fa3cc,Correct.,-6.3322285e-07,No
6,6,25,3," During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book.",bda612ce,Correct.,-3.948155e-07,No
6,6,28,4," During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book. As a result,",0198499e,Correct.,-0.06346727366664999,No
6,6,33,5," During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book. As a result, there was a Solar Eclipse,",1858e0d2,"Um, actually, the opening of the Book of Blaseball during the first season did not directly result in a Solar Eclipse. Solar Eclipses are part of the game's narrative weather conditions and are not caused by the opening of the Book.",-0.2065430632722653,Yes
7,7,12,1, 80's cartoons loved thrusting live-action sitcom characters into sci-fi and fantasy settings.,bce71da9,"Um, actually, 80's cartoons did not frequently include live-action sitcom characters, nor did they often place them into fantasy settings. While there were isolated examples (e.g., ""The Fonz and the Happy Days Gang""), such instances were not widespread or indicative of the broader trends in 1980s cartoons.",-0.4924976915307961,Yes
8,8,5,1," Early in the game Bloodborne,",7db773ef,Correct.,-6.3322285e-07,No
8,8,12,2," Early in the game Bloodborne, the player can find a note in",0a0c4f95,Correct.,-0.0008519709265000001,No
8,8,16,2," Early in the game Bloodborne, the player can find a note in losefka's Clinic that gives",8eecb3c1,Correct.,-0.001093369621,No
8,8,20,2," Early in the game Bloodborne, the player can find a note in losefka's Clinic that gives them their primary objective:",3e15e6f9,"Um, actually, there is no note in Iosefka's Clinic in Bloodborne that gives the player their primary objective.",-0.011051596546201923,Yes
9,9,12,1," Sewing a button back onto a shirt is a deceptively easy skill,",e3408bf6,Correct.,-3.3521365e-07,No
9,9,31,2," Sewing a button back onto a shirt is a deceptively easy skill, but here are some tips to make it easier: Cut a long length of string to give yourself room,",2b8264ef,"Um, actually, cutting a very long length of string is not recommended for sewing a button, as it can tangle or knot easily. A moderate length of thread, around 18-24 inches, is more manageable.",-0.24803831516687327,Yes
10,10,2,1," Zaphod Beeblebrox,",4048463c,Correct.,-3.948155e-07,No
10,10,20,2," Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster,",794fc18f,Correct.,-7.524265e-07,No
10,10,39,3," Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."" It includes some wild ingredients,",99704be8,Correct.,-4.5441732e-07,No
10,10,46,4," Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."" It includes some wild ingredients, like the tooth of an Algolian Suntiger,",620aac6e,Correct.,-5.73621e-07,No
10,10,51,5," Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."" It includes some wild ingredients, like the tooth of an Algolian Suntiger, three cubes of Arcturan Mega-gin,",6e7c965d,"Um, actually, the Pan-Galactic Gargle Blaster does not include ""three cubes of Arcturan Mega-gin"" as an ingredient. The recipe calls for ""one measure of Arcturan Mega-gin.""",-0.06705521151162826,Yes
11,11,10,1," Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters,",467d7458,Correct.,-2.75611825e-07,No
11,11,13,2," Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures,",32e27a29,Correct.,-3.948155e-07,No
11,11,16,3," Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures, and its feasts.",f995eb7d,Correct.,-5.140192e-07,No
11,11,21,4," Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures, and its feasts. Dishes like Shrewbread Bubbling Bobbs,",7a1ed147,"Um, actually, dishes like Shrewbread and Bubbling Bobbs are not featured in the ""Redwall"" series.",-0.012854556356795601,Yes
12,12,21,1," In Cathy Yan's ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"" Harley describes the perfect egg sandwich: eggs,",c5f479da,"Um, actually, Harley Quinn's description of the perfect egg sandwich in ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)"" does not include only eggs; it also includes bacon, melted cheese, hot sauce, and a buttered, toasted roll.",-0.07637783424288415,Yes
13,13,15,1," In ""Dragon Age: Origins,"" players and their companions can consume a variety of questionable brews.",02f8ed2e,"Um, actually, players and their companions in ""Dragon Age: Origins"" cannot directly consume brews. While potions like health and mana potions are used as gameplay items, there is no mechanic or narrative involving the consumption of ""questionable brews"" in the traditional sense.",-0.2133351825090281,Yes
14,14,8,1," Over the history of the Star Trek universe,",7806a116,Correct.,-1.52132741e-05,No
14,14,18,2," Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food.",2ce42d30,Correct.,-8.120283e-07,No
14,14,22,3," Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food. In Captain Pike's day,",63bf784c,Correct.,-1.1696393e-06,No
14,14,38,4," Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food. In Captain Pike's day, the food synthesizers build meals out of glucose matrix; by the 31st century depicted in Discovery,",981ca35d,Correct.,-1.1696393e-06,No
14,14,51,5," Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food. In Captain Pike's day, the food synthesizers build meals out of glucose matrix; by the 31st century depicted in Discovery, the Federation could craft near-perfect simulations of real food out of quantum foam.",f8e83d8a,"Um, actually, food simulations in the 31st century in *Star Trek: Discovery* are not crafted from quantum foam. There is no canonical evidence to suggest this; advanced replication technology creates matter but does not explicitly use quantum foam as a basis.",-0.6110985566024175,No
15,15,14,1, Blue milk is enjoyed in the Star Wars universe by heroes and villains alike.,a8be78b4,Correct.,-0.2370404970283,No
15,15,20,2, Blue milk is enjoyed in the Star Wars universe by heroes and villains alike. Luke Skywalker drank it as a,1ac88fa8,"Um, actually, Luke Skywalker was not a young boy when he drank blue milk in *Star Wars: Episode IV - A New Hope.* He was a young adult at the time, not a child.",-0.17264517508020427,Yes
16,16,8,1," In ""Our Town,"" a particularly gruesome X-Files episode,",41889b56,Correct.,-3.948155e-07,No
16,16,17,2," In ""Our Town,"" a particularly gruesome X-Files episode, Mulder and Scully investigate an Arkansas chicken processing plant,",a1eefaa3,Correct.,-7.524265e-07,No
16,16,43,3," In ""Our Town,"" a particularly gruesome X-Files episode, Mulder and Scully investigate an Arkansas chicken processing plant, where human beings are slaughtered by the evil Cigarette Smoking Man and his allies in the Syndicate and turned into food slurry for future alien colonists.",d1c72960,"Um, actually, in ""Our Town,"" while Mulder and Scully investigate an Arkansas chicken processing plant, the plot involves a secret cannibalistic cult and not the Cigarette Smoking Man, the Syndicate, humans being slaughtered, or food slurry for alien colonists.",-0.2647591737215111,Yes
17,17,13,1," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple,",3cb452e6,Correct.,-7.524265e-07,No
17,17,26,2," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve.",b61498df,Correct.,-3.3521365e-07,No
17,17,35,3," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it,",189b6866,Correct.,-1.445251125e-06,No
17,17,42,4," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it, it's partially rotten and a huge disappointment.",5199306b,Correct.,-8.120283e-07,No
17,17,46,5," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it, it's partially rotten and a huge disappointment. This happens in 1966,",ebcd68e8,Correct.,-0.0394525423875,No
17,17,54,6," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it, it's partially rotten and a huge disappointment. This happens in 1966, the same year the Beatles came to Japan.",55837320,"Um, actually, the memory of Taeko's father bringing home a pineapple in ""Only Yesterday"" is not explicitly stated to take place in 1966. While the Beatles did visit Japan in 1966, there is no direct confirmation that the memory in the movie aligns with the same year.",-0.3079060249400115,Yes
