final,page,weight,sentence,word,question,evidence
False,Einstein field equations,-0.08,0,5,195,"{'confidence': -0.07594906430632502, 'final': False}"
False,Black hole,-0.32,0,11,195,"{'confidence': -0.320386908152, 'final': False}"
False,Birkhoff's theorem,-0.04,0,17,195,"{'confidence': -0.04132321489679, 'final': False}"
False,Cosmological constant,-0.11,1,8,195,"{'confidence': -0.106070942882625, 'final': False}"
False,Cosmological constant,-0.12,1,16,195,"{'confidence': -0.12199080083399999, 'final': False}"
False,Cosmological constant,-0.21,1,20,195,"{'confidence': -0.21141143704034998, 'final': False}"
False,Cosmological constant,-0.08,2,6,195,"{'confidence': -0.08040958785625, 'final': False}"
False,Flatness problem,-0.08,2,12,195,"{'confidence': -0.07984163799999999, 'final': False}"
False,Flatness problem,-0.06,2,19,195,"{'confidence': -0.06287330466666667, 'final': False}"
False,Flatness problem,-0.14,2,22,195,"{'confidence': -0.13545330566666666, 'final': False}"
False,Flatness problem,-0.21,3,6,195,"{'confidence': -0.2097279512042167, 'final': False}"
False,Flatness problem,-0.20,3,12,195,"{'confidence': -0.20060968922866665, 'final': False}"
False,Flatness problem,-0.19,3,18,195,"{'confidence': -0.19309939301886667, 'final': False}"
False,Flatness problem,-0.18,3,25,195,"{'confidence': -0.17804269800121666, 'final': False}"
True,Flatness,-0.00,3,31,195,"{'confidence': -6.2729995e-06, 'final': True}"
False,Flatness problem,-0.11,3,32,195,"{'confidence': -0.10889869747821333, 'final': False}"
True,Flatness,-0.00,4,7,195,"{'confidence': -4.18552945e-05, 'final': True}"
True,Flatness,-0.00,4,13,195,"{'confidence': -5.7768981825e-05, 'final': True}"
True,Flatness,-0.00,4,13,195,"{'confidence': -5.7768981825e-05, 'final': True}"
False,Orchestration,-0.16,0,6,128,"{'confidence': -0.16410511693133334, 'final': False}"
True,Cello,-0.01,0,11,128,"{'confidence': -0.010473474415, 'final': True}"
False,Wynton Marsalis,-0.03,0,16,128,"{'confidence': -0.033127456315904996, 'final': False}"
False,Trumpet,-0.05,0,22,128,"{'confidence': -0.047076909692, 'final': False}"
False,Double bass,-0.21,1,7,128,"{'confidence': -0.20865102595, 'final': False}"
True,Saxophone,-0.01,1,13,128,"{'confidence': -0.014797866267333334, 'final': True}"
True,Saxophone,-0.02,1,20,128,"{'confidence': -0.020500719313333336, 'final': True}"
True,Saxophone,-0.02,2,7,128,"{'confidence': -0.016110704946666665, 'final': True}"
True,Saxophone,-0.01,2,15,128,"{'confidence': -0.013111692107999999, 'final': True}"
True,Saxophone,-0.01,2,20,128,"{'confidence': -0.00690981105, 'final': True}"
True,Trumpet,-0.00,2,26,128,"{'confidence': -7.10742532e-06, 'final': True}"
True,Trumpet,-0.00,3,6,128,"{'confidence': -9.253091325000001e-06, 'final': True}"
True,Trumpet,-0.00,3,13,128,"{'confidence': -5.855786665e-06, 'final': True}"
True,Trumpet,-0.00,3,19,128,"{'confidence': -8.359063325e-06, 'final': True}"
True,Trumpet,-0.00,3,25,128,"{'confidence': -4.425343e-06, 'final': True}"
True,Trumpet,-0.00,3,26,128,"{'confidence': -3.054500625e-06, 'final': True}"
True,Trumpet,-0.00,4,6,128,"{'confidence': -9.68436475e-07, 'final': True}"
True,Trumpet,-0.00,4,12,128,"{'confidence': -2.1601e-07, 'final': True}"
True,Trumpet,-0.00,4,13,128,"{'confidence': -2.1601e-07, 'final': True}"
True,Trumpet,-0.00,4,13,128,"{'confidence': -2.1601e-07, 'final': True}"
False,Ethnic group,-0.29,0,7,94,"{'confidence': -0.28821689675266665, 'final': False}"
False,Irish Americans,-0.65,0,13,94,"{'confidence': -0.6539700368091, 'final': False}"
False,Miskito people,-0.20,0,14,94,"{'confidence': -0.1999364916, 'final': False}"
False,Miskito people,-0.28,1,7,94,"{'confidence': -0.2759069820275, 'final': False}"
False,"Five Points, Manhattan",-0.46,1,13,94,"{'confidence': -0.461424851755, 'final': False}"
False,Indigenous Australians,-0.18,1,18,94,"{'confidence': -0.17781699666666664, 'final': False}"
False,Indigenous Australians,-0.32,1,20,94,"{'confidence': -0.3218730123133333, 'final': False}"
False,Aboriginal Australians,-0.15,2,6,94,"{'confidence': -0.14789541932333336, 'final': False}"
False,Aboriginal Australians,-0.13,2,15,94,"{'confidence': -0.12885707371533334, 'final': False}"
False,Aboriginal Australians,-0.09,2,18,94,"{'confidence': -0.08692033851166665, 'final': False}"
False,Aboriginal Australians,-0.13,3,5,94,"{'confidence': -0.12955400346766668, 'final': False}"
False,Aboriginal Australians,-0.11,3,11,94,"{'confidence': -0.11290443598146666, 'final': False}"
False,Aboriginal Australians,-0.11,3,13,94,"{'confidence': -0.10510103169773334, 'final': False}"
False,Aboriginal Australians,-0.19,4,6,94,"{'confidence': -0.19169026232633335, 'final': False}"
False,Aboriginal Australians,-0.18,4,13,94,"{'confidence': -0.1754904747410333, 'final': False}"
False,Aboriginal Australians,-0.16,4,19,94,"{'confidence': -0.16082262872264666, 'final': False}"
False,Aboriginal Australians,-0.13,4,25,94,"{'confidence': -0.12866768122924335, 'final': False}"
False,Aboriginal Australians,-0.18,5,8,94,"{'confidence': -0.1848332585442167, 'final': False}"
False,Aboriginal Australians,-0.16,5,13,94,"{'confidence': -0.15633843187755, 'final': False}"
False,Aboriginal Australians,-0.16,5,13,94,"{'confidence': -0.15633843187755, 'final': False}"
False,Encyclopedia,-0.07,0,6,39,"{'confidence': -0.0695371515, 'final': False}"
True,Sanskrit,-0.01,0,10,39,"{'confidence': -0.014265796052333335, 'final': True}"
False,Aesthetic Theory,-0.59,0,15,39,"{'confidence': -0.5854283, 'final': False}"
True,Sanskrit drama,-0.02,0,21,39,"{'confidence': -0.0198911665605, 'final': True}"
True,Sanskrit,-0.00,0,22,39,"{'confidence': -2.8707593333333336e-06, 'final': True}"
True,Sanskrit,-0.00,1,8,39,"{'confidence': -2.6323521000000003e-06, 'final': True}"
True,Sanskrit,-0.00,1,17,39,"{'confidence': -4.062796e-06, 'final': True}"
True,Sanskrit,-0.00,1,23,39,"{'confidence': -2.8707594333333335e-06, 'final': True}"
True,Sanskrit,-0.00,1,30,39,"{'confidence': -1.0429698666666666e-06, 'final': True}"
True,Sanskrit,-0.00,1,38,39,"{'confidence': -2.2747410666666667e-06, 'final': True}"
True,Sanskrit,-0.00,2,8,39,"{'confidence': -2.2747410666666663e-06, 'final': True}"
True,Sanskrit,-0.00,2,14,39,"{'confidence': -8.791208e-06, 'final': True}"
True,Sanskrit,-0.00,2,16,39,"{'confidence': -1.1691831e-05, 'final': True}"
True,Sanskrit,-0.00,3,8,39,"{'confidence': -7.042887766666666e-06, 'final': True}"
True,Sanskrit,-0.00,3,15,39,"{'confidence': -5.016425466666666e-06, 'final': True}"
True,Sanskrit,-0.00,3,22,39,"{'confidence': -3.5859814333333332e-06, 'final': True}"
True,Sanskrit,-0.00,3,27,39,"{'confidence': -6.923683466666667e-06, 'final': True}"
True,Sanskrit,-0.00,4,7,39,"{'confidence': -7.479968000000001e-06, 'final': True}"
True,Sanskrit,-0.00,4,13,39,"{'confidence': -6.853588833333333e-07, 'final': True}"
True,Sanskrit,-0.00,4,14,39,"{'confidence': -3.0694323333333334e-06, 'final': True}"
True,Sanskrit,-0.00,4,14,39,"{'confidence': -3.0694323333333334e-06, 'final': True}"
False,Franz Boas,-0.08,0,7,161,"{'confidence': -0.0822651151256, 'final': False}"
