final,correct,question,sentence,word,page,weight,evidence
True,True,30,0,17,Fox,0.83,{'final': True}
True,True,30,1,21,Fox,0.85,{'final': True}
True,True,30,2,8,Fox,0.94,{'final': True}
True,True,30,3,28,Fox,0.93,{'final': True}
True,True,30,4,17,Fox,0.96,{'final': True}
True,True,30,4,17,Fox,0.96,{'final': True}
False,False,31,0,3,Yes and no,0.42,{'final': False}
False,False,31,1,22,Fibonacci number,0.52,{'final': False}
False,False,31,2,16,Andrew Wiggins,0.55,{'final': False}
True,False,31,3,21,6 and 7,0.90,{'final': True}
True,False,31,3,21,6 and 7,0.90,{'final': True}
True,True,32,0,25,Moonlight Greatsword,0.74,{'final': True}
True,True,32,1,27,Moonlight Greatsword,0.86,{'final': True}
True,True,32,2,27,Moonlight Greatsword,0.87,{'final': True}
True,True,32,3,21,Moonlight Greatsword,0.91,{'final': True}
True,True,32,4,9,Moonlight Greatsword,0.90,{'final': True}
True,True,32,4,9,Moonlight Greatsword,0.90,{'final': True}
False,False,33,0,29,Daniel Johnston,0.07,{'final': False}
False,False,33,0,34,Michael Jackson,0.06,{'final': False}
False,False,33,1,22,Fergie,0.23,{'final': False}
False,False,33,2,17,Cleopatra Stratan,0.32,{'final': False}
True,True,33,3,20,Chappell Roan,0.95,{'final': True}
True,True,33,3,20,Chappell Roan,0.95,{'final': True}
False,True,34,0,14,Egg,0.83,{'final': False}
True,True,34,1,16,Egg,0.93,{'final': True}
True,True,34,2,29,Egg,0.91,{'final': True}
True,True,34,2,33,Egg,0.94,{'final': True}
True,True,34,3,20,Egg,0.97,{'final': True}
True,False,34,4,24,Egg (biology),0.84,{'final': True}
True,False,34,4,24,Egg (biology),0.84,{'final': True}
