model_buzz,sentence,qid,run_id,human_correctness,human_buzz,model_guess,model_correctness
A mixture of elements with different values of this quantity can react to form a molecule with a value for this quantity between those of the reactants in,A mixture of elements with different values of this quantity can react to form a molecule with a value for this quantity between those of the reactants in a comproportionation reaction.,187,0,N/A,N/A,Electronegativity,False
"A narrator contrasts ""just"" and ""unjust"" versions of","A narrator contrasts ""just"" and ""unjust"" versions of one of these places whose futures are ""already present in this instant.""",29,1,N/A,N/A,Republic (Plato),False
The,"The Ashtamangala, or Eight Auspicious Signs, includes a golden pair of these animals.",138,1,N/A,N/A,Frogs,False
The largest railroad strike since the Pullman Strike,The largest railroad strike since the Pullman Strike took place in this decade and was primarily led by shopmen.,56,1,N/A,N/A,1920s,True
"That poem by this author is set on Hellespont and opens,","That poem by this author is set on Hellespont and opens, ""Guilty of true love's blood.""",15,1,N/A,N/A,Lord Byron,False
"Jacques Derrida first coined the word ""différance"" in","Jacques Derrida first coined the word ""différance"" in a book responding to Michel Foucault's Madness and Civilization and partially titled for this statement.",155,1,N/A,N/A,Deconstruction,False
"This city's name originates from Gajah Mada's Palapa Oath, which stated that he","This city's name originates from Gajah Mada's Palapa Oath, which stated that he would not rest until the Majapahit Dynasty united a certain archipelago.",220,1,N/A,N/A,Jakarta,False
Mutation of APC can cause this organ to take,"Mutation of APC can cause this organ to take on a bumpy interior appearance due to familial adenomatous polyposis, or FAP.",174,1,N/A,N/A,Colon (anatomy),True
"This man stated, ""Greatness is not to be measured in stockpiles of atomic bombs,"" and noted that the Founding Fathers rose above the ""petty wranglings of separate","This man stated, ""Greatness is not to be measured in stockpiles of atomic bombs,"" and noted that the Founding Fathers rose above the ""petty wranglings of separate states.""",79,0,N/A,N/A,Dwight D. Eisenhower,False
This composer drew from Frescobaldi for a,This composer drew from Frescobaldi for a collection of wind quintet pieces.,103,2,N/A,N/A,György Ligeti,True
A site in this country was where a tunnel complex was,A site in this country was where a tunnel complex was discovered during setup for a light show.,91,1,N/A,N/A,United States,False
Characters with this job inspired a movie remake,"Characters with this job inspired a movie remake about ""magnificent"" people with a different profession.",126,4,N/A,N/A,Samurai,True
The,The atmospheres of these objects were the first location where it was hypothesized that stabilized excited electrons could cause chemical bonds to rearrange orthogonal to the field.,212,1,N/A,N/A,Neutron star,False
Figures of oblivion and envy appear in a,Figures of oblivion and envy appear in a painting partly named for this figure and her son.,115,1,N/A,N/A,The Birth of Venus,True
That,"That musician cries out that ""the lion has walked!""",40,1,N/A,N/A,Macbeth (character),False
"In one myth, the turtle god Kim Qui orders a","In one myth, the turtle god Kim Qui orders a man to return one of these objects gifted to him by the Dragon King.",146,1,N/A,N/A,Vietnamese mythology,False
"An account of living in concentration camps is titled after ""Man's Search For"", for 10 points, what concept studied by Victor Frankl?","An account of living in concentration camps is titled after ""Man's Search For"", for 10 points, what concept studied by Victor Frankl?",165,4,N/A,N/A,Meaning (philosophy),True
A character in this play tells a man that he,A character in this play tells a man that he is an accomplice just for hearing the plans for a burglary that occurs between this play's two acts.,8,1,N/A,N/A,Rosencrantz and Guildenstern Are Dead,False
N/A,A character in this play tells a man that he is an accomplice just for hearing the plans for a burglary that occurs between this play's two acts.,8,1,True,A character in this play tells a man that he is an accomplice just for hearing the plans for a burglary,N/A,N/A
as,as his brother betrayed him.,67,1,N/A,N/A,Ethnic Egyptians,False
N/A,A leader of this ethnic group who fought at Bender defected in the Great Northern War.,67,3,False,A leader of this,N/A,N/A
In a certain two-dimensional model with circular symmetry that can model Josephson junction,"In a certain two-dimensional model with circular symmetry that can model Josephson junction arrays, one of these phenomena occurs with a certain parameter equal to infinity.",199,1,N/A,N/A,Phase transitions,True
