word,question,page,evidence,weight,final,sentence
18,145,Aziru to Pharaoh,"{'confidence': 0.026443105190992355, 'final': False}",0.03,False,0
17,145,"Amarna letter EA 161, Aziru to Pharaoh","{'confidence': 0.012641842477023602, 'final': False}",0.01,False,1
25,145,Amarna Akkadian letter,"{'confidence': 0.01127530261874199, 'final': False}",0.01,False,1
20,145,"Amarna letter EA 161, Aziru to Pharaoh","{'confidence': 0.021865030750632286, 'final': False}",0.02,False,2
27,145,Amarna Akkadian letter,"{'confidence': 0.023553263396024704, 'final': False}",0.02,False,2
18,145,Amarna letter EA 161,"{'confidence': 0.010072472505271435, 'final': False}",0.01,False,3
26,145,Amarna letter EA 161,"{'confidence': 0.006642134860157967, 'final': False}",0.01,False,3
26,145,Amarna letter EA 161,"{'confidence': 0.006642134860157967, 'final': False}",0.01,False,3
17,146,Berlin,"{'confidence': 0.17470556497573853, 'final': False}",0.17,False,0
28,146,Berlin,"{'confidence': 0.07106133550405502, 'final': False}",0.07,False,0
17,146,1926 in Berlin,"{'confidence': 0.019283663481473923, 'final': False}",0.02,False,1
34,146,Muhammad Asad,"{'confidence': 0.014192627742886543, 'final': False}",0.01,False,1
12,146,1926 in Berlin,"{'confidence': 0.014367504976689816, 'final': False}",0.01,False,2
18,146,1926 in Berlin,"{'confidence': 0.013261056505143642, 'final': False}",0.01,False,3
20,146,1926 in Berlin,"{'confidence': 0.014287009835243225, 'final': False}",0.01,False,3
20,146,Muhammad Asad.,"{'confidence': 0.008965114131569862, 'final': False}",0.01,False,4
29,146,Muhammad Asad.,"{'confidence': 0.011620678938925266, 'final': False}",0.01,False,4
29,146,Muhammad Asad.,"{'confidence': 0.011620678938925266, 'final': False}",0.01,False,4
12,147,The other operator,"{'confidence': 0.008516835048794746, 'final': False}",0.01,False,0
20,147,The other operator,"{'confidence': 0.011212664656341076, 'final': False}",0.01,False,1
29,147,operator,"{'confidence': 0.014545515179634094, 'final': False}",0.01,False,1
17,147,"retransmitting ""How are you receiving me?""","{'confidence': 0.008951155468821526, 'final': False}",0.01,False,2
18,147,The other operator,"{'confidence': 0.008395981043577194, 'final': False}",0.01,False,2
13,147,"retransmitting ""How are you receiving me?""","{'confidence': 0.007941661402583122, 'final': False}",0.01,False,3
8,147,"retransmitting ""How are you receiving me?""","{'confidence': 0.0052807568572461605, 'final': False}",0.01,False,4
8,147,"retransmitting ""How are you receiving me?""","{'confidence': 0.0052807568572461605, 'final': False}",0.01,False,4
18,148,Anna,"{'confidence': 0.03098730556666851, 'final': False}",0.03,False,0
21,148,Anna,"{'confidence': 0.03492607921361923, 'final': False}",0.03,False,0
19,148,Anna,"{'confidence': 0.015165421180427074, 'final': False}",0.02,False,1
22,148,Anna,"{'confidence': 0.014214319176971912, 'final': False}",0.01,False,1
21,148,Anna,"{'confidence': 0.017590034753084183, 'final': False}",0.02,False,2
26,148,Anna,"{'confidence': 0.022695640102028847, 'final': False}",0.02,False,2
17,148,Anna,"{'confidence': 0.018907947465777397, 'final': False}",0.02,False,3
17,148,Anna,"{'confidence': 0.018907947465777397, 'final': False}",0.02,False,3
19,149,Queensland,"{'confidence': 0.48880356550216675, 'final': True}",0.49,True,0
35,149,Queensland,"{'confidence': 0.40135663747787476, 'final': True}",0.40,True,0
17,149,Queensland,"{'confidence': 0.12509585916996002, 'final': False}",0.13,False,1
21,149,15215,"{'confidence': 0.08982958644628525, 'final': False}",0.09,False,1
18,149,15215,"{'confidence': 0.054714493453502655, 'final': False}",0.05,False,2
31,149,15215,"{'confidence': 0.07902418076992035, 'final': False}",0.08,False,2
16,149,Queensland number with a TMS check digit,"{'confidence': 0.03127548471093178, 'final': False}",0.03,False,3
26,149,15215,"{'confidence': 0.053452394902706146, 'final': False}",0.05,False,3
26,149,15215,"{'confidence': 0.053452394902706146, 'final': False}",0.05,False,3
