ID,Statement Number,Word Count,Sentence Number,Chunk ID,Chunk,Answer,Confidence Score,Answered?
0,0,5,1," As the original ""Invisible Man"",",4fc399d1,Correct.,-1.76565765e-06,No
0,0,15,2," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film.",34350f68,"Um, actually, Jack Griffin is not the original ""Invisible Man"" character, as the character was first created by H.G. Wells in his 1897 novel *The Invisible Man*. Jack Griffin is the film adaptation's version of the protagonist, based on the unnamed character in the book.",-0.43984942063201865,Yes
0,0,26,3," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters.",acb103b5,Correct.,-2.75611825e-07,No
0,0,39,4," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis,",d042637d,Correct.,-4.5441732e-07,No
0,0,52,5," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer,",e3d56eef,"Um, actually, ""The Invisible Boy"" does not involve Jack Griffin's great-grandson or any connection to ""The Invisible Man"" storyline. Instead, it is about a boy who uses a robot to become invisible and fight an evil supercomputer.",-0.152292779417622,Yes
0,0,69,6," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer, and ""The Invisible Woman"" where a former department store model becomes invisible to punish her former boss.",65fa6106,"Um, actually, ""The Invisible Boy"" is not a film where Jack Griffin's great-grandson becomes invisible to fight an evil supercomputer. It is a standalone science fiction film unrelated to the Jack Griffin/""The Invisible Man"" storyline.",-0.1050719690234554,Yes
0,0,69,7," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer, and ""The Invisible Woman"" where a former department store model becomes invisible to punish her former boss. ",9e399cb8,"Um, actually, ""The Invisible Boy"" is not part of the ""Invisible Man"" franchise, and it does not involve Jack Griffin's great-grandson becoming invisible to fight an evil supercomputer. Additionally, while ""The Invisible Woman"" is part of the franchise, her invisibility is not primarily used to punish her former boss, as the statement suggests.",-0.23015599997674696,Yes
1,1,17,1," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme,",6473c42b,Correct.,-7.524265e-07,No
1,1,29,2," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating.",a2220e0c,Correct.,-9.3123195e-07,No
1,1,31,3," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance,",7fed0a61,Correct.,-0.0002790568465,No
1,1,41,4," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points,",caddf2ee,"Um, actually, when Strahd von Zarovich is reduced to 0 hit points in ""Curse of Strahd,"" he does not immediately die but instead transforms into mist form unless exposed to sunlight or running water. If he cannot return to his resting place within 2 hours, he is then permanently destroyed. ",-0.2352868537563038,Yes
1,1,54,5," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin.",c04df217,Correct.,-2.75611825e-07,No
1,1,76,6," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving.",218475ca,"Um, actually, the Mists of Ravenloft are not universally described as ""deadly"" in ""Curse of Strahd,"" and they do not magically prevent *all* characters from leaving Barovia; certain exceptions can apply depending on the context and Dungeon Master's discretion.",-0.4121628789007584,Yes
1,1,84,7," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia,",7e8b64bf,Correct.,-8.7163015e-07,No
1,1,86,8," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia, like teleport,",d9fb3eab,Correct.,-5.140192e-07,No
1,1,88,9," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia, like teleport, simply fail,",f7b654f2,Correct.,-2.75611825e-07,No
1,1,108,10," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia, like teleport, simply fail, and Strrahd's spies are meant to check in on the player characters each day and night they are in Barovia.",554ab82f,Correct.,-5.140192e-07,No
1,1,108,11," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia, like teleport, simply fail, and Strrahd's spies are meant to check in on the player characters each day and night they are in Barovia. ",2da1ea06,"Um, actually, while ""Curse of Strahd"" specifies that spells like teleport fail when used to leave Barovia, it does not state that Strahd von Zarovich's spies are required to check in on the player characters every day and night. The frequency of their surveillance is left to the Dungeon Master's discretion.",-0.13657719805143784,Yes
2,2,2,1," Before 2015,",be13d441,Correct.,-0.0096527644357,No
2,2,25,2," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies,",50ef1080,"Um, actually, the Holocron was not used specifically for officially licensed Star Wars movies—it was used to manage the continuity of the entire Star Wars franchise, including movies, TV shows, books, comics, and other media.",-0.2156015851837966,Yes
2,2,27,3," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows,",828b328c,Correct.,-4.5441732e-07,No
2,2,29,4," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games.",942fb95f,Correct.,-4.5441732e-07,No
2,2,35,5," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge,",7550652b,"Um, actually, the Holocron system was not retired in a manner likened to an ""Order-66 style purge."" The transition to a reorganized canon under Disney's ownership was a deliberate restructuring rather than a sudden or aggressive elimination.",-0.43313038393408576,Yes
2,2,43,6," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars:",a4eb8fd1,Correct.,-0.12596509441731998,No
2,2,48,7," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars: The Clone Wars"" TV show,",56b23c50,"Um, actually, Disney did not demote the animated ""Star Wars: The Clone Wars"" TV show. Although the broader Expanded Universe content was reclassified as ""Legends,"" ""The Clone Wars"" remained part of the official canon and was later revived for a final season on Disney+.",-0.31073845929630556,Yes
2,2,53,8," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars: The Clone Wars"" TV show, the ""Star Wars Holiday Special"",",2554c16b,"Um, actually, Disney did not demote the animated ""Star Wars: The Clone Wars"" TV show, nor did they demote the ""Star Wars Holiday Special."" ""The Clone Wars"" remained part of the official canon and was even revived for a final season in 2020, while the ""Holiday Special"" was never considered canonical in the first place.",-0.2263409362024245,Yes
2,2,62,9," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars: The Clone Wars"" TV show, the ""Star Wars Holiday Special"", and the General Thrawn novels to non-canon 'Legend' status.",1e024e2c,"Um, actually, the animated ""Star Wars: The Clone Wars"" TV show was not demoted to non-canon 'Legend' status; it remained part of the official Star Wars canon after Disney's acquisition. Additionally, the ""Star Wars Holiday Special"" was never considered canon to begin with, so it was not demoted to 'Legend' status.",-0.1000913283494582,Yes
2,2,62,10," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars: The Clone Wars"" TV show, the ""Star Wars Holiday Special"", and the General Thrawn novels to non-canon 'Legend' status. ",2c561ef6,"Um, actually, Disney did not demote the ""Star Wars: The Clone Wars"" TV show to non-canon status; it remained part of the official canon and even received a final season under Disney's direction in 2020. Additionally, the ""Star Wars Holiday Special"" was never considered part of the official canon to begin with, so it was not demoted to ""Legend"" status.",-0.3471846419666574,Yes
3,3,4,1," In Resident Evil 4,",7d962747,Correct.,-7.9102773e-05,No
