question,answer,Correct
0,"Um, actually, ""The Invisible Boy"" is not part of the franchise involving invisible characters by Universal. It is a 1957 film unrelated to Universal's series.",Incorrect
1,"Um, actually, the Mists of Ravenloft in ""Curse of Strahd"" are not a deadly fog; they cause disorientation and exhaustion but do not immediately kill those who attempt to pass through them.",Incorrect
2,"Um, actually, the five different levels of canon were part of the ""Star Wars Expanded Universe"" categorization and not directly applicable to all officially licensed Star Wars movies and TV shows, which were generally considered top-level canon.",Incorrect
3,"Um, actually, Luis Sera did not develop ""Las Plagas""; they are ancient parasitic organisms discovered by Osmund Saddler, who then studied and weaponized them.",Correct
4,"Um, actually, Earth-77013 is a designation for an alternate reality known from ""Avengers Fairy Tales"" and is not the continuity depicted in the Amazing Spider-Man newspaper comic strip.",Incorrect
5,"Um, actually, Prince Adam does not use the phrase ""Let the Power Return!"" to turn from He-Man back into Prince Adam. There is no specific phrase used for the reverse transformation in the original series.",Correct
6,"Um, actually, the Commissioner did not open the Book of Blaseball during the first season; it was opened during the postseason tournament of Season 10.",Incorrect
7,"Um, actually, it was not a common trope for 80's cartoons to use live-action sitcom characters. While there were some examples, such as ""The Fonz and the Happy Days Gang,"" this was not a predominant trend.",Incorrect
8,"Um, actually, the optional final boss in Bloodborne is called ""Moon Presence,"" not ""Paleblood.""",Incorrect
9,"Um, actually, it is not generally recommended to cut a long length of string when sewing a button onto a shirt. Using a long length of thread can lead to tangling and knotting.",Incorrect
10,Correct.,Incorrect
11,"Um, actually, ""Shrewbread Bubbling Bobbs"" does not appear in Brian Jacques' ""Redwall"" series.",Incorrect
12,"Um, actually, Harley Quinn does describe the perfect egg sandwich in the film, including a soft buttered roll, but the statement does not mention whether it includes bacon or eggs.",Incorrect
13,"Um, actually, players and companions cannot consume brews in ""Dragon Age: Origins."" They can consume potions like health and lyrium potions, but there is no mechanic for consuming brews or alcoholic beverages.",Incorrect
14,"Um, actually, in Captain Pike's day, which is around the 23rd century in the Star Trek universe, food synthesizers use a process likely involving protein resequencing, not specifically a glucose matrix, which is from a later time period in the 32nd century depicted in ""Star Trek: Discovery.""",Incorrect
15,"Um, actually, Luke Skywalker drank green milk, not blue milk, as an old man on Ahch-To in ""The Last Jedi.""",Correct
16,"Um, actually, ""Our Town"" is the title of a specific episode of The X-Files (Season 2, Episode 24) known for its gruesome themes, rather than a reference being made to the episode. Additionally, the episode of The X-Files often referred to as particularly gruesome and infamous is ""Home"" from Season 4, Episode 2, not ""Our Town.""",Incorrect
17,"Um, actually, in the movie ""Only Yesterday,"" Taeko's family does not successfully learn how to serve the pineapple. They struggle with how to cut and serve it correctly after buying a whole pineapple.",Incorrect
18,"Um, actually, no individual has appeared in 137 episodes of the fandom-themed game show ""Um, Actually.""",Incorrect
19,"Um, actually, while an isopropyl alcohol of 70% is effective for killing bacteria and viruses on surfaces, it is not recommended for cleaning wounds. Wounds should be cleaned with water and mild soap, with saline or antiseptics prescribed for wound care.",Incorrect
20,"Um, actually, it is not certain that you have heard the song ""The Monster Mash"" as the statement assumes familiarity which may not apply to everyone.",Incorrect
21,"Um, actually, the Justice League made their television debut in the animated series ""Super Friends,"" which first aired in 1973. The 1967 references ""The Superman/Aquaman Hour of Adventure"" show, where some Justice League characters appeared, but it was not a full Justice League show.",Correct
22,"Um, actually, the SNES game ""The Legend of Zelda: A Link to the Past"" features an area called Skull Woods, not Skeleton Forest, as the Dark World's reflection of the Lost Woods.",Incorrect
23,"Um, actually, pinball was legalized in New York City in 1976, but it wasn't universally legalized in all places at that time. Other cities had their own timelines for lifting pinball bans.",Correct
24,"Um, actually, Herbig-Haro-46 and Herbig-Haro-47 are located in the constellation of Vela, but the error seems to be in the verification as both the statement and key points describe the Vela Constellation correctly.",Incorrect
25,"Um, actually, Animal Crossing: New Horizons is not the number two best-selling game on the Nintendo Switch. Mario Kart 8 Deluxe is the top seller, not The Legend of Zelda: Breath of the Wild.",Incorrect
26,"Um, actually, Bugs Bunny did not use his drag personas against Adolf Hitler in any episode, and he did not specifically target Napoleon with his drag personas.",Incorrect
27,"Um, actually, Babalities in Mortal Kombat transform the losing opponent into a baby version of themselves, not a smoking-hot babe.",Incorrect
28,"Um, actually, Beata does not get shunned by her people in the episode ""Angel One."" Additionally, the character of Beata is not shown making out with Commander Riker in the episode.",Incorrect
29,"Um, actually, avoiding oil-based cleaners does not necessarily prevent the skin from becoming too oily; skin oiliness is more influenced by genetics, hormones, and other factors.",Incorrect
30,"Um, actually, the term ""The Age of Reconciliation"" is not used in the Halo video game series.",Incorrect
31,"Um, actually, ""Beast King GoLion"" originally aired with 52 episodes, which is typically sufficient for syndication, although it usually requires at least 65 episodes. ""Voltron: Defender of the Universe"" was created by combining ""GoLion"" with another series to meet American syndication requirements.",Incorrect
32,Correct.,Incorrect
33,"Um, actually, Bloons are not referred to as evil balloons in Bloons Tower Defense 6.",Incorrect
34,"Um, actually, the statement incorrectly suggests that a Cobra boxer figure with Sylvester Stallone's likeness was almost a new addition to the series; it was the Rocky Balboa figure that was planned, but neither was released.",Incorrect
35,"Um, actually, in Elden Ring, players can choose from various classes, and ""Depraved"" is not one of them. The class resembling ""Depraved"" or ""Deprived"" from other games is called ""Wretch.""",Incorrect
36,"Um, actually, in the first episode of ""Thundercats,"" the nobles escape with more than just their ceremonial robes; they have important items like the Sword of Omens and the Book of Omens, and companions in suspended animation.",Incorrect
37,"Um, actually, the Ghostly Trio were not originally named Fusso. The Ghostly Trio, consisting of Casper's uncles, were originally named Fatso, Stinkie, and Stretch.",Incorrect
38,"Um, actually, the argument mentioned in the statement did not pertain to calculating the total number of reps over multiple sets. The phrase ""On your way back from work"" also does not appear as an insult or burn during these arguments.",Incorrect
39,"Um, actually, muscle injuries are not necessarily ""the worst"" compared to other types of injuries. The severity of an injury depends on various factors, and injuries to the brain, spine, or internal organs can have more significant long-term consequences.",Incorrect
40,Correct.,Incorrect
41,"Um, actually, the first Resident Evil video game is not set in Raccoon City, but rather in the Spencer Mansion near Raccoon City. Additionally, the creatures are created by the Umbrella Corporation, not Cyberdyne Systems.",Incorrect
42,"Um, actually, the letter ""L"" does not officially stand for ""love"" in the Superman canon. It is more commonly associated with characters like Lois Lane and Lex Luthor.",Incorrect
43,Correct.,Incorrect
44,"Um, actually, the ""John Wick"" film series is not based on a graphic novel; it was originally created by screenwriter Derek Kolstad.",Incorrect
45,"Um, actually, there are not a lot of real swear words in ""The Hitchhiker's Guide to the Galaxy,"" as it uses humorous and fictional profanity instead.",Correct
46,"Um, actually, Dungeons and Dragons and Magic: The Gathering do not require dice and miniatures for gameplay, and Monopoly uses tokens, not miniatures.",Incorrect
