id,answer,sent,text
0,San_Francisco,0,This city's police chief Thomas Cahill was fired by Mayor John Shelley after a raid of a New Year's Eve 1965 party where many members of the Daughters of Bilitis were force-photographed.
0,San_Francisco,1,A professor in this city named Sally Miller Gearhart campaigned against the Briggs Initiative.
0,San_Francisco,2,Protesters smashed the windows of police cars during the Compton's Cafeteria riot in this city.
0,San_Francisco,3,A civil rights leader in this city was assassinated by a man who also killed Mayor George Moscone.
0,San_Francisco,4,The National Register of Historic Places includes many sites in this city's Mission District and Castro with ties to LGBTQ+ history.
0,San_Francisco,5,"Harvey Milk was elected to the Board of Supervisors in, for 10 points, what Northern California city?"
1,Cholera,0,"The virulence of this disease is partly increased by the release of both TcpP and TcpH proteins, which activate the expression of ToxT."
1,Cholera,1,The bacteria that causes this disease requires a phage to code for its causative enterotoxin; that toxin was the first discovered AB5 toxin and contains a subunit that catalyzes the ADP-ribosylation of G proteins.
1,Cholera,2,"Heterozygous carriers of the mutation behind cystic fibrosis have increased resistance to this disease, which induces the secretion of chloride ions into the small intestine."
1,Cholera,3,An epidemiological study by John Snow traced an outbreak of this disease to a contaminated London water pump.
1,Cholera,4,"Organisms in the genus Vibrio cause, for 10 points, what disease, whose symptoms include watery diarrhea?"
2,New_Delhi,0,"The '12 Pillars' road in this metro area leads to its expensive Connaught Place business district, many of whose buildings were designed by Robert Tor Russell."
2,New_Delhi,1,Much of Raisina ('rye-SEE-nuh') Hill in this metro area was developed between durbars held in 1903 and 1912.
2,New_Delhi,2,"In the late 20th century, this metro area's population spread to suburbs like Ghaziabad that lie across the Yamuna River."
2,New_Delhi,3,This metro area is home to the flower-shaped Bahá'í Lotus Temple.
2,New_Delhi,4,"This metro area is home to the Jama Masjid, its country's largest mosque."
2,New_Delhi,5,A massive redevelopment plan in this metro area will update Lutyens-era structures like the Rashtrapati Bhawan despite a pandemic.
2,New_Delhi,6,"The Koh-i-Noor diamond once resided in this metro area's Red Fort, the home of many Mughal emperors."
2,New_Delhi,7,"For 10 points, name this metro area that includes India's capital."
3,Sigmund_Freud,0,Luce Irigaray was expelled from a Paris school named for this man for her thesis Speculum of the Other Woman.
3,Sigmund_Freud,1,J. M. Masson argued that this thinker suppressed theories about child abuse in the controversial book The Assault on Truth.
3,Sigmund_Freud,2,"This man's views that one group of people were 'a strange, inferior, less-than-human species' are attacked in a 1963 book by Betty Friedan."
3,Sigmund_Freud,3,(*) Karen Horney broke from a theory proposed by this man by arguing that men were drawn to creative endeavors as a compensation for not being able to procreate.
3,Sigmund_Freud,4,This man described how one concept led to girls disparaging their mothers for appearing to be castrated.
3,Sigmund_Freud,5,"For 10 points, name this man who proposed the theory of penis envy and founded psychoanalysis."
4,Invertible_matrix,0,A square matrix has this property if and only if its characteristic polynomial has a nonzero constant term.
4,Invertible_matrix,1,An n-by-n matrix also has this property if it has n pivot points.
4,Invertible_matrix,2,"Alternatively, a square matrix over the complex numbers has this property if all of its eigenvalues are non-zero."
4,Invertible_matrix,3,"Square matrices are called non-singular if they have this property, which is true if and only if they have a non-zero (*) determinant."
4,Invertible_matrix,4,A function f-of-x has this property if there is another function g-of-x such that f-of-g-of-x and g-of-f-of-x both equal x.
4,Invertible_matrix,5,"Therefore, functions that are not bijective and therefore fail to be injective or surjective, such as the parabola x-squared, do not have this property."
