id,answer,sent,text
30,Fox,0,"When a neighboring town stole some citrus, a Springfield resident retorts that he's stupider like this animal."
30,Fox,1,"Although it appeared in ICAO and 1947 IATA alphabets, it was made to trot in the 1949 list of code words."
30,Fox,2,"It jumps in the most famous English pangram."
30,Fox,3,"This kind of animal is the deuteragonist in Zootopia 1 and 2 and this kind of animal is voiced by George Clooney in a 2009 Wes Anderson film."
30,Fox,4,"For 10 points, answering this question will prove you're as clever and sly as what red canine?"
31,6-7,0,"Two answers required."
31,6-7,1,"They are both associated with Steph Curry and Kevin Durant's uniforms as well as the first half of the 20th Fibonacci number."
31,6-7,2,"They became associated with the height of a player who will join the University of Kansas."
31,6-7,3,"Following the lyrics 'I know he dyin'' in a Skrilla song, for 10 points name these two numbers that follow five."
32,Moonlight Greatsword,0,"This weapon can be obtained by inflicting a type of irreversible damage on an ancient white dragon, removing a part that does not grow back."
32,Moonlight Greatsword,1,"This weapon can be created as a form of inheritance, shaped from the soul of a king who descended into madness while believing he carried noble lineage."
32,Moonlight Greatsword,2,"This weapon is considered a kind of dowry, offered by a figure who rejected her world’s ruling order and chose a companion according to her own terms."
32,Moonlight Greatsword,3,"This weapon also appears in another realm under a different name and shape, yet its inner function is essentially the same."
32,Moonlight Greatsword,4,"For 10 points, what is this Dark Souls weapon?"
33,Chappell Roan,0,"This person's name appears on the shirt worn by a middle aged man at the start of a music video where he's saying letters of the alphabet while holding his hands above his head."
33,Chappell Roan,1,"This person appears herself in a blue sequined dress with golden epaulets on a stage with a backup singer lamenting spelling ability."
33,Chappell Roan,2,"That music video also features fast food restaurants like Andy's, where you might order food 'to go'."
33,Chappell Roan,3,"For 10 points, name this singer from the third most populous city in Missouri and singer of 'Hot to Go'."
34,Egg,0,"This nickname is shared by a love interest on Arrested Development and a Targaryen."
34,Egg,1,"There is a common juxtaposition paradox regarding this item and the living being associated with it."
34,Egg,2,"A second person story with this name posits that the universe is a mechanism for creating a god by having you become every human to have ever lived, according to author Any Weir."
34,Egg,3,"East and West 'this thing' are the setting of a novel set in the suburbs of New York by Fitzgerald."
34,Egg,4,"All vegans and some vegetarians will not eat this structurally porous item that---for 10 points---is a vessel in which an embryo begins to develop."
35,Rock Mushroom,0,"This is the only item that can cause a thorny flower, officially referred to as a needle plant in the game’s files, to transform into the collectible known as Star Bits without requiring assistance from external characters/objects and does not change the character’s overalls from turning white or any color in the rainbow."
35,Rock Mushroom,1,"This item, from the sequel of the game that is being made into a movie by Illumination, can also aid the character in defeating their 'rival' in the only challenge that gives the player a power star and is also an indoor sport that does not involve ice."
35,Rock Mushroom,2,"A variant of the cannonical first powerup rendered in gray instead of red and white, this Super Mario Galaxy 2 exclusive power-up turns Mario into a rolling boulder."
35,Rock Mushroom,3,"For 10 points, give the two word phrase that combines a general geology term with an edible fungus."
36,Monaco,0,"This country was the site of a 2025 race with Matt Gray to get to its highest point using either stairs or elevators."
36,Monaco,1,"This country has a 4:5 aspect ratio, making it possible to distinguish its flag from another European country and an Asian nation."
36,Monaco,2,"This country has a letter N in the 3rd position of its name, and of the countries that it borders, France is the largest, but it is one of the 10 smallest countries in Europe."
36,Monaco,3,"The country is known for low income taxes which do not exceed 20%."
36,Monaco,4,"For 10 points, name this tiny principality on the coast of France."
37,Brick,0,"The Princeton computer science building used these to encode an ASCII statement about complexity theory."
37,Brick,1,"They are present everywhere in UMD's old computer science building but only around the auditoriums of its new building."
37,Brick,2,"It contains the letter 'f' 0 times and is in the name of one of the hottest data analytics start-ups whose IPO is long awaited and who named one of their products after a sheep."
37,Brick,3,"Pink Floyd could offer you 'another' one of these, Jethro Tull has a song as 'thick' as one, The Commodores have a song about a house built out of them, which also foiled the big bad wolf."
37,Brick,4,"For 10 points, name this common building material."
38,Raising Cane's,0,"Its College Park location will open the day after this question is read across the street from College Park's Freshman bar."
38,Raising Cane's,1,"This location has a large mural of a shell with a heart in the center on the side of the building and was formerly the site of Ratsie's and Nando's Peri-Peri."
38,Raising Cane's,2,"This chain's name is similar to the nickname of the chairman of the joint chiefs and comes from its founder's dog."
38,Raising Cane's,3,"For 10 points, name this Chicken Fingers chain founded in Baton Rouge whose name evokes causing problems."
6,1Q84,0,"It’s not a Bach work that features preludes and fugues in all 24 keys, but this novel’s first 48 chapters alternate between the major key of a serial killer and the minor key of a math teacher."
6,1Q84,1,"It’s not a travel diary by the author of The Cherry Orchard, but this novel quotes heavily from Chekov’s description of the Nivkh people."
6,1Q84,2,"Its title does not contain the word “bird”, but one of its characters is an investigator who is hired by a cult to investigate the male main character, the son of a TV license fee collector."
6,1Q84,3,"It’s not a book by John Scalzi about the moon turning into cheese, but it uses a 20th-century song that compares the moon to an everyday object to help explain why a parallel world has an extra natural satellite: ""It’s Only a Paper Moon.""
6,1Q84,4,"It’s not a children’s series by John Peterson, but it does feature “the little people”, who are the subject of a novel within this novel: Air Chrysalis."
6,1Q84,5,"For 10 points–it’s not the story of Big Brother and Winston Smith—but Ushikawa appears in The Wind-Up Bird Chronicle and what other Murakami novel, changing the second character of a George Orwell work to Q?"
7,Shor’s quantum factorization algorithm,0,"It’s not the Shortest Vector Problem, but Oded Regev improved it in 2024 using a projection to lattices."
7,Shor’s quantum factorization algorithm,1,"It’s not Hartree-Fock, but in 2021, Craig Gidney contributed to a paper that estimated computing it on an input 600 digits long would require registers with at least 20 million components."
7,Shor’s quantum factorization algorithm,2,"It’s not constraint satisfaction, but Jin-Yi Cai showed that implementing it is difficult to implement even in the presence of vanishingly small noise."
7,Shor’s quantum factorization algorithm,3,"It’s not named after Bennet, Brassard, or Deutsch, but its namesake did win a 2023 prize funded by a Russian-Israeli entrepreneur."
7,Shor’s quantum factorization algorithm,4,"For 10 points, name this polynomial time quantum factoring algorithm named after its MIT discoverer."
8,Helsinki,0,"It’s not Cheshire, but this city’s zoo is on an island south of the city whose name literally means “Tall Island” in both of this city’s official languages."
8,Helsinki,1,"It’s not Sofia, but this city has a statue of Alexander II in front of the cathedral that also bears this city’s name."
8,Helsinki,2,"It’s not Port of Spain, but an 1808 fire destroyed much of this city."
8,Helsinki,3,"It’s not Toronto, but this city’s university was founded in 1827 after moving from Turku."
8,Helsinki,4,"It’s not Stockholm, but this capital city uses Swedish as a national language."
8,Helsinki,5,"It’s not Tallinn, but this national capital is 300km west of St. Petersburg."
8,Helsinki,6,"For 10 points, name this home of the Kustaanmiekka Zoo and capital of a territory that has flipped between Russian and Swedish spheres of influence, the capital of Finland."
9,Swiss High German,0,"Two-word answer required. It’s not an official language in London, but Primus B. Bon wrote an essay about how youths create neologisms by combining English words with its suffix ‘li’: a good lighter is an “alwaysli” but a bad lighter is a “maybeli.”"
9,Swiss High German,1,"It is not an official language in Berlin, but one of the two countries where it is an official language has used Duden as the official source of spelling since the end of the nineteenth century."
9,Swiss High German,2,"It is not an official language in Rome, but it calls bell peppers “pepperoni”."
9,Swiss High German,3,"It is not an official language in Paris, but it calls sidewalks Trottoir."
9,Swiss High German,4,"It is not a very similar language used in a more populous country to its north, and what makes it different are its orthography—omitting the eszett, which resembles the greek letter beta, and replacing it with two copies of the letter “s”—and grammar—using accusative rather than dative case for showing state."
9,Swiss High German,5,"For 10 points, name this language that is neither French, Italian, or Rhaeto Romansch but is nonetheless one of the four official languages in the country whose capital is Bern?"
10,JL Austin,0,"He is not the author of Über Gewissheit, but Avner Baz uses him to refute Peter Geach’s assault on the statement “I know the painting is a forgery”."
10,JL Austin,1,"He is not the biblical prophet swallowed by a giant fish, but Terry Eagleton argued that this philosopher allows you to understand Jonah’s prophecies as useless: by uttering them, you force them not to happen."
10,JL Austin,2,"He is not the author of Signature Event Context, but Monica Robison uses his theories to explain why Iago’s repeated performative statements about a handkerchief cause Othello to change."
10,JL Austin,3,"He is not the author of a novel about a book about the Dashwood sisters, but his series of eleven lectures attacking perception are in a collection with a similar title."
10,JL Austin,4,"For 10 points, name this philosopher who wrote “Other Minds”, “How to do Things with Words”, and “Sense and Sensibilia” whose surname is a homophone of that of the author of “Sense and Sensibility”."
11,Debra Winger,0,"She’s not Teri Garr, but she received an academy award nomination for best actress in 1982 playing opposite someone who later starred in the 1990 Dick Tracy film."
11,Debra Winger,1,"She’s not Terri Nunn, but her first major film appearance was in Thank God It’s Friday."
11,Debra Winger,2,"She’s not Bobby Fisher, but a 2002 film where the sole male interviewee was Roger Ebert was titled “Searching for” her after her 1995 hiatus from acting."
11,Debra Winger,3,"She’s not Shirley MacLaine, but she had above the title billing in the 1983 film also starring Jack Nicholson about the relationship between Aurora and Emma."
11,Debra Winger,4,"For 10 points, name this actress who appeared in A Gentleman and an Officer and Terms of Endearment."
12,Ozempic,0,"We want the name of the thing, not its general class. For example, if the answer is “Boeing 787”, we will take “Dreamliner” but not “wide-body plane” or A350."
12,Ozempic,1,"It’s not dialysis, but a January 28, 2025 FDA ruling made it the only treatment of its type allowable for chronic kidney disease with glucose processing comorbidities."
12,Ozempic,2,"It was not the subject of study of Baldomero Olivera at the University of Utah, but its discovery was the result of investigating the venom of a reptile found in the Southwest United States."
12,Ozempic,3,"It’s not made by a company headquartered in Indianapolis, but Iike dulaglutide it has over 90% genetic similarity to a peptide hormone that is released by the intestine."
12,Ozempic,4,"It’s not LEGO, but the company who makes it reports its earnings in Danish Kroner and the market cap of the company that makes it has surpassed the GDP of Denmark."
12,Ozempic,5,"For 10 points, what GLP-1 receptor agonist originally designed to treat type 2 diabetes has made Novo Nordisk much more money as a weight loss drug?"
13,parking,0,"It’s not public transportation fares, but Ngo and Krishnamurth at the NITC study that the price of this—as set by a 2011 program to dynamically charge for this service—increased transit ridership."
13,parking,1,"It’s not taxi service, but Henao and Marshall argue that ride hailing is decreasing the money airports make from providing this."
13,parking,2,"In 2023, a resolution Zohaib “Zo” Qadri in Austin caused it to be the largest US city to remove minimum mandates for it."
13,parking,3,"A book by UCLA professor Donald Shoup argues that “The High Cost of Free [this thing]” makes housing more expensive and exacerbates the negative impacts of urban sprawl."
13,parking,4,"In 2008, Chicago leased meters that charge for this activity to Dubai for 75 years."
13,parking,5,"For 10 points, name the activity of storing a motor vehicle streetside, in a garage, or in front of a meter."
14,top quark,0,"It is not the subject of the LIGO and Virgo projects, but like that discovery, its discovery produced a mid-90s paper with a similar number of authors."
14,top quark,1,"According to an article by Liss and Tipton, its discovery was enabled by Leon Lederman creating D0 [dee-zero] to provide competition to the Collider Detector at Fermilab."
14,top quark,2,"It’s neither a proton, neutron, electron, nor neutrino, but it has spin ½."
14,top quark,3,"It’s neither two W+ bosons nor an atom of an element discovered by Masataka Ogawa, but it has about the same mass."
14,top quark,4,"It’s neither the up nor the charm quark, but it has the same charge."
14,top quark,5,"For 10 points, name this quark that was hypothesized after the discovery of its counterpart, the bottom quark."
15,Cyrano de Bergerac,0,"It’s not a play by Moliere, but one of its characters is a merchant who aspires to be an aristocrat but who goes broke because he trades pastries for poems."
15,Cyrano de Bergerac,1,"It’s not by Dumas, but that merchant’s wife, Lise, has a love affair with a musketeer."
15,Cyrano de Bergerac,2,"It’s not Romeo and Juliet, but the title character bribes a chaperone of a young woman with cream-puffs and a jelly roll."
15,Cyrano de Bergerac,3,"It’s not by Leo Tolstoy, but it does feature starving French soldiers who were cut off by the Spanish at the siege of Arras."
15,Cyrano de Bergerac,4,"Although the title character is rejected by his love interest in Act 2, he continues writing love letters and providing advice to a handsome cadet."
15,Cyrano de Bergerac,5,"For 10 points, name this work featuring an ugly title character who helps Christian de Neuvillette woo Roxane, a play by Edmond Rostand."
16,molybdenum,0,"It’s not iron, but Parkash and Saxsena showed what damage the lack of this element could do to citrus fruit: plants were smaller, and higher leaves were rough and small."
16,molybdenum,1,"It’s not technetium, but it’s commonly used in medical imaging, and a 2008 shortage of its 99 isotope because of multiple reactor shortages caused an NHS panic."
16,molybdenum,2,"It’s not copper, but Joe Kubota analyzed livestock that grazed on plants with too much of this element deposited by shale alluvium developed nutritional deficiencies."
16,molybdenum,3,"For 10 points, name this element with atomic number 42 whose symbol comes from the ancient greek for lead, molybdos."
17,Lydia Tár,0,"She’s not played by Gary Cooper, but she does develop love in the afternoon for a cello player in a European capital."
17,Lydia Tár,1,"The main character is not played by Matt Damon, but she is the title character of a film that begins with a trip to Berlin."
17,Lydia Tár,2,"She’s not played neither Jared Harris nor Stellan Skarsgård, but the music in the movie that bears her name was composed by Hildur Guðnadóttir."
17,Lydia Tár,3,"She’s not played by Richard Dreyfuss, but she does play a conductor who sometimes gets into conflict with her students, such as whether J.S. Bach should be cancelled."
17,Lydia Tár,4,"For 10 points, name this 2022 Oscar winning film that is not Elvis but does have a one word title that names its musical protagonist, a conductor played by Cate Blanchett."
18,Republic of Suriname,0,"It’s not Germany, but a town in this country that is separated from French territory by a river was named for the wife of a man from Mannheim in 1846."
18,Republic of Suriname,1,"This country is not Massachusetts, but its first European settlement was in 1630."
18,Republic of Suriname,2,"It’s not Saint Martin, but its tallest mountain—like Saint Martin’s airport—is named after the queen who took the throne immediately after the independence of Indonesia."
18,Republic of Suriname,3,"It’s not Venezuela, but its Atlantic Coast borders a country with capital at Georgetown."
18,Republic of Suriname,4,"It’s not the Netherlands, but its official language is Dutch."
18,Republic of Suriname,5,"For 10 points, name this nation whose eastern border with French Guyana is at Albina, whose first settlement was at the mouth of the river of the same as this country, that has the highest point of Julianatop, whose western border is with Guyana, and whose capital is Paramaribo."
19,"Gregory House, MD",0,"He is neither Brisco nor the Janitor from Scrubs, but R. Lee Ermey played this character's father, although this character believed that his father was actually a Unitarian minister."
19,"Gregory House, MD",1,"He’s neither George Costanza nor Sam Seaborn nor Jake Novak, but the same actress who played their girlfriends and Abby McCarthy played this man’s girlfriend, whom he first hooked up with while a student at the University of Michigan."
19,"Gregory House, MD",2,"He’s not Sherlock Holmes, but his address is 221B."
19,"Gregory House, MD",3,"He’s still not Sherlock Holmes, but his best friend played by Robert Sean Leonard is named “Watson”."
19,"Gregory House, MD",4,"For 10 points, name this misanthropic doctor from a long-running Fox series who solves medical mysteries."
20,Dwight David Eisenhower,0,"He’s not someone who celebrated his 79th birthday on Flag Day, but he was the honoree of a January 20 parade that included horses, jeeps, heavy equipment, tanks, fifty-two fighters, and six attack bombers."
20,Dwight David Eisenhower,1,"He’s not Karl Theodor Anton Maria von Dalberg, but he was in charge of Bavaria, Eastern Hesse, and Baden-Württemberg north of the A8, which he governed from a building that was previously the headquarters of a chemical conglomerate."
20,Dwight David Eisenhower,2,"He’s not Woodrow Wilson, but while president of an Ivy League university, he closed a three-digit street that previously had split the campus in two."
20,Dwight David Eisenhower,3,"For 10 points, name this American president elected in 1952 who was former Supreme Allied Commander in Europe and president of Columbia University."
