sentence,page,final,evidence,weight,word,question
0,"""send out",False,"{'confidence': 0.07751862704753876, 'final': False}",0.08,17,128
0,"send out"" and read as ""take out",False,"{'confidence': 0.020695623010396957, 'final': False}",0.02,23,128
1,"send out"" and read as ""take out",False,"{'confidence': 0.0036962798330932856, 'final': False}",0.00,18,128
1,"send out"" and read as ""take out",False,"{'confidence': 0.0036962798330932856, 'final': False}",0.00,18,128
2,"send out"" and read as ""take out",False,"{'confidence': 0.005592219065874815, 'final': False}",0.01,18,128
2,"send out"" and read as ""take out",False,"{'confidence': 0.005197586491703987, 'final': False}",0.01,36,128
2,:,False,"{'confidence': 0.0028604259714484215, 'final': False}",0.00,40,128
3,"send out"" and read as ""take out.",False,"{'confidence': 0.0007600888493470848, 'final': False}",0.00,22,128
3,:,False,"{'confidence': 7.303555321414024e-05, 'final': False}",0.00,25,128
3,:,False,"{'confidence': 7.303555321414024e-05, 'final': False}",0.00,25,128
0,T.O.K.UV,False,"{'confidence': 0.05506310984492302, 'final': False}",0.06,17,129
0,T.O.K.UV,False,"{'confidence': 0.0851903110742569, 'final': False}",0.09,24,129
1,Winston RileyXY,False,"{'confidence': 0.026025695726275444, 'final': False}",0.03,17,129
1,Winston RileyXY,False,"{'confidence': 0.015047495253384113, 'final': False}",0.02,33,129
1,T.O.K.UV,False,"{'confidence': 0.02615128643810749, 'final': False}",0.03,39,129
2,T.O.K.UV,False,"{'confidence': 0.03119145706295967, 'final': False}",0.03,17,129
2,T.O.K.UV,False,"{'confidence': 0.017645444720983505, 'final': False}",0.02,19,129
3,T.O.K.UV,False,"{'confidence': 0.011553744785487652, 'final': False}",0.01,16,129
3,T.O.K.UV,False,"{'confidence': 0.009001238271594048, 'final': False}",0.01,25,129
4,T.O.K.UV,False,"{'confidence': 0.0033530062064528465, 'final': False}",0.00,14,129
4,T.O.K.UV,False,"{'confidence': 0.0033530062064528465, 'final': False}",0.00,14,129
0,operator,False,"{'confidence': 0.00810575857758522, 'final': False}",0.01,20,125
0,The other operator,False,"{'confidence': 0.008596309460699558, 'final': False}",0.01,24,125
1,The other operator,False,"{'confidence': 0.011097143404185772, 'final': False}",0.01,18,125
1,The other operator,False,"{'confidence': 0.005684455391019583, 'final': False}",0.01,34,125
2,The other operator,False,"{'confidence': 0.003679098794236779, 'final': False}",0.00,17,125
2,"retransmitting ""How are you receiving me?""",False,"{'confidence': 0.0042602429166436195, 'final': False}",0.00,21,125
3,The other operator,False,"{'confidence': 0.001767114968970418, 'final': False}",0.00,17,125
4,"retransmitting ""How are you receiving me?""",False,"{'confidence': 0.0008709346875548363, 'final': False}",0.00,16,125
4,The other operator,False,"{'confidence': 0.0007298575364984572, 'final': False}",0.00,20,125
5,"How are you receiving me?""",False,"{'confidence': 7.68889658502303e-05, 'final': False}",0.00,11,125
5,"How are you receiving me?""",False,"{'confidence': 7.68889658502303e-05, 'final': False}",0.00,11,125
0,Winry reveals she has prepared a new automail,False,"{'confidence': 0.016245927661657333, 'final': False}",0.02,17,126
1,Winry reveals she has prepared a new automail,False,"{'confidence': 0.017378224059939384, 'final': False}",0.02,17,126
1,Winry reveals she has prepared a new automail,False,"{'confidence': 0.0122841726988554, 'final': False}",0.01,29,126
2,Winry reveals she has prepared a new automail,False,"{'confidence': 0.009842517785727978, 'final': False}",0.01,17,126
2,Winry reveals she has prepared a new automail,False,"{'confidence': 0.008195741102099419, 'final': False}",0.01,22,126
3,Winry reveals she has prepared a new automail,False,"{'confidence': 0.004363586660474539, 'final': False}",0.00,16,126
3,Winry reveals she has prepared a new automail,False,"{'confidence': 0.004363586660474539, 'final': False}",0.00,16,126
0,The other operator,False,"{'confidence': 0.018316209316253662, 'final': False}",0.02,18,127
0,The other operator,False,"{'confidence': 0.022119756788015366, 'final': False}",0.02,28,127
1,The other operator,False,"{'confidence': 0.018283313140273094, 'final': False}",0.02,19,127
1,The other operator,False,"{'confidence': 0.010601370595395565, 'final': False}",0.01,32,127
2,The other operator,False,"{'confidence': 0.010115308687090874, 'final': False}",0.01,19,127
2,The other operator,False,"{'confidence': 0.006147362757474184, 'final': False}",0.01,22,127
3,The other operator,False,"{'confidence': 0.003546843770891428, 'final': False}",0.00,12,127
3,The other operator,False,"{'confidence': 0.003546843770891428, 'final': False}",0.00,12,127
