id,text,sent,answer
1,A metaphor by this author compares a river that rises up in a flood and then recedes to a stream to the extent that people should contemplate the nature of leadership,0,"['Franz Kafka', 'Kafka']"
1,A passage by this author is about a herald who cannot leave an extremely large palace after being entrusted with an emperor's dying message,1,"['Franz Kafka', 'Kafka']"
1,The narrator of a story by this author relates how the title structure was built piecemeal to protect from northern nomads,2,"['Franz Kafka', 'Kafka']"
1,"The posthumous publication of this author's story ""The Great Wall of China"" was overseen by Max Brod",3,"['Franz Kafka', 'Kafka']"
1,"A novel by this author, which contains the parable ""Before the Law,"" begins when two unnamed government agents arrest the bank worker Josef K",4,"['Franz Kafka', 'Kafka']"
1,"For 10 points, name this Czech author of The Trial",5,"['Franz Kafka', 'Kafka']"
2,"This organization's code of ethics calls for ""purity of arms,"" inspired by one of its predecessors' strategy of ""restraint",0,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,""" This organization uses a policy of ""disproportionate force"" against infrastructure according to the Dahiya doctrine",1,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,"Until 2016, this organization had a policy of preventing kidnappings ""by all means"" possible, including death, known as the Hannibal Directive",2,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,"Supporters of this organization called it the ""most moral army in the world",3,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,""" This organization opened fire on people trying to obtain humanitarian aid in the flour massacre",4,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,Whistleblowers revealed that this organization tortured prisoners at the Sde Teiman detention camp,5,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,This organization rescued four hostages in a raid on Nuseirat,6,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
2,"For 10 points, name this national military of Israel",7,"['Israel Defense Force', 'Tzahal', 'IDF', 'Israel Defense Forces']"
3,The god Ullr carved spells into one of these objects to allow him to sail on it like a boat,0,"['bone', 'skull', 'specific bones like skull']"
3,These objects belonging to a horse are the first thing Grettir the Strong notices in the place where he fights the undead Karr the Old,1,"['bone', 'skull', 'specific bones like skull']"
3,"After his death, these objects of Ymir formed the mountains of the Earth",2,"['bone', 'skull', 'specific bones like skull']"
3,"Loki persuades Thjalfi to damage one of these objects during a meal, which results in him and his sister accompanying the trickster on his journey to face Utgard-Loki",3,"['bone', 'skull', 'specific bones like skull']"
3,The breaking of one of these objects belonging to Thor's goats causes it to end up with a limp after being resurrected,4,"['bone', 'skull', 'specific bones like skull']"
3,"For 10 points, name these objects that were broken for those goats to reach the marrow inside",5,"['bone', 'skull', 'specific bones like skull']"
4,Random numbers were generated by shuffling playing cards as part of an early computational model of this process conducted by Nils Aall Barricelli,0,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
4,"Stuart Kauffman introduced a model that originally described this process in which ""K"" represents ""ruggedness,"" called the NK model",1,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
4,"A tighter condition was added to the definition of Nash equilibria by John Maynard Smith to describe a ""stable strategy"" named for this process",2,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
4,"Many modern models are based on Motoo Kimura's neutral theory of this process's ""molecular"" form",3,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
4,"This process is often modeled as movement toward the local optimum of a ""fitness"" or ""adaptive"" landscape",4,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
4,"For 10 points, what biological process names a type of computation inspired by natural selection?",5,"['molecular evolution', 'evolve', 'evolutionarily stable strategy', 'evolving', 'evolves', 'evolution', 'evolutionary computation']"
5,"A ruler with this name was served by the nobleman Pandulf Ironhead, who lost two sons in battle against Emir Abu'l-Qasim",0,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,A ruler with this name gave away a replica of the Holy Lance at the Congress of Gniezno,1,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,A ruler with this name swam to a Greek merchant ship for safety after losing the Battle of Stilo to a Muslim army from Sicily,2,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,"After escaping from imprisonment by Berengar II, Adelaide of Italy married a ruler with this name",3,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,"A ruler with this name arranged for his son to marry the Byzantine princess Theophanu, spurring his namesake ""Renaissance",4,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,""" That ruler with this name defeated the Magyars at the Battle of Lechfeld and was crowned by Pope John XII in 962",5,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
5,"For 10 points, give this name of a German king widely regarded as the first Holy Roman Emperor",6,"['Otto the Great', 'Otto', 'Ottonian Renaissance', 'Otto the Red', 'Otto I', 'Otto III', 'Otto II']"
