id,answer,text,fold
46,Howl,"A character in this poem is told that he's in the ""animal soup of time."" Aside from a single question mark, the only punctuation marks in its second section are exclamation points. A reading from a draft of this poem was the highlight of the Six Gallery reading. Its final section calls out to (*) Carl Solomon, referencing his electric shock treatments and repeating the line ""I'm with you in Rockland."" It begins ""I saw the best minds of my generation destroyed by madness."" For 10 points, name this Beat poem by Allen Ginsberg.",test
47,W.H. Auden,"The subject of a poem by this author had never heard of a world ""where promises were kept"" or where one could ""weep because another wept."" This poet described an object that depicts ""An artificial wilderness / And a sky like lead"" in his poem ""The (*) Shield of Achilles. He used the lines ""About suffering they were never wrong, / The old Masters"" to open a poem inspired by the painting Landscape with the Fall of Icarus. For 10 points, name this British poet of ""Musee des Beaux-Arts.""",test
48,Augustin-Louis Cauchy,"This man sometimes names the residue theorem. A distribution usually named for this man has no defined mean or variance. The conditions for a complex function to be holomorphic are given by a set of equations named for him and Bernhard (*) Riemann. He is the alphabetically prior namesake of the statement that the product of the magnitude of two vectors is greater than their dot product. For 10 points, name this French mathematician who names an inequality with Hermann Schwarz.",test
49,Mexico,"A story set in this country ends with the narrator Pichon being released from prison and discovering he has a son who resembles him. The stories in the collection The Burning Plain are set here. The same six lines open and close a poem by an author from this country that imagines a (*) ""willow of crystal, a poplar of water"" and is based on an ancient calendar. Juan Rulfo hailed from this country, whose history is the subject of the essay ""The Sons of La Malinche."" For 10 points, name this home of the author of ""Sunstone"" and The Labyrinth of Solitude, Octavio Paz.",test
50,Ode to a Nightingale,"The speaker of this poem wishes that he had ""a beaker full of the warm South"" so that he could ""leave the world unseen."" This poem compares a melody to that heard by Ruth, who cried amidst the ""alien corn."" Its final section states that the word (*) forlorn ""is like a bell."" It begins with the speaker comparing his numbness to having consumed hemlock, and it ends with the speaker torn between himself and the title creature, concluding ""do I wake or sleep?"" For 10 points, name this John Keats ode addressed to a bird.",test
51,Great Society,"As part of this initiative, a high speed rail line called the Metroliner was built between New York and Washington by the newly-formed Department of Transportation. This initiative led to the creation of Community Action Agencies in low-income areas, and it also included the development of the (*) Office of Economic Opportunity as part of its War on Poverty. It included the passage of the Voting Rights Act in 1965. For 10 points, name this domestic program implemented by Lyndon B. Johnson.",test
52,Isabel Allende,"A character created by this author is helped by a Chinese doctor during a sea voyage to California and later disguises herself as a homosexual boy while accompanying a troupe of prostitutes managed by Joe Bonecrusher. A father whips his daughter after discovering her affair with a communist in a novel by this writer that opens with the death of (*) Rosa the Beautiful. Eliza Sommers is the protagonist of her novel Daughter of Fortune. For 10 points, name this author who wrote about the Trueba family in The House of the Spirits.",test
53,Wuthering Heights,"In a scene from this novel, a drunken man drops his squalling and kicking child over the banister, but is caught by a man who could not show a blanker countenance than a miser who had lost five thousand pounds. A character in this novel overhears the woman he loves saying that it would degrade her to marry him, running away before she goes on to relate how much she loves him. Its frame story is presented to Mr. (*) Lockwood while he stays at Thrushcross Grange, and the plot is driven into motion when Mr. Earnshaw adopts an orphaned child and names him Heathcliff. For 10 points, name this novel by Emily Bronte.",test
54,Jack London,"In a story by this author, Charley is saved from a shipwreck by a Polynesian man who helps him become a captain and a plantation owner. This author of ""The Heathen"" wrote about a cheechako, or newcomer, who ignores the warnings of the locals by traveling to (*) Henderson Creek is weather that is seventy-five degrees below zero. This writer used the Alaskan gold rush as the setting of ""To Build a Fire"" and as the backdrop for a novel about the sled dog Buck. For 10 points, name this author of The Call of the Wild.",test
55,Franz Kafka,"The protagonist of a novel by this author is evicted from the Bridge Inn and is talked into becoming a school janitor by a character whose role is often translated as the Council Chairman. A character created by this writer is surprised to discover that he no longer (*) likes the taste of milk, but enjoys eating rotten food. The quest for Klamm, who resides in the title structure, is taken up by K in his novel The Castle. For 10 points, name this author who wrote about Gregor Samsa being turned into an insect in ""The Metamorphosis.""",test
