word,question,final,sentence,page,evidence,weight
17,130,False,0,operator,"{'confidence': 0.013576234690845013, 'final': False}",0.01
17,130,False,1,operator,"{'confidence': 0.012930184602737427, 'final': False}",0.01
15,130,False,2,operator,"{'confidence': 0.012005488388240337, 'final': False}",0.01
18,130,False,3,other operator,"{'confidence': 0.0057194046676158905, 'final': False}",0.01
26,130,False,3,operator,"{'confidence': 0.006229023914784193, 'final': False}",0.01
14,130,False,4,operator,"{'confidence': 0.0014203157043084502, 'final': False}",0.00
14,130,False,4,operator,"{'confidence': 0.0014203157043084502, 'final': False}",0.00
21,131,False,0,Stacey,"{'confidence': 0.07426664233207703, 'final': False}",0.07
10,131,False,1,Stacey,"{'confidence': 0.051656223833560944, 'final': False}",0.05
17,131,False,2,Stacey,"{'confidence': 0.03352343291044235, 'final': False}",0.03
20,131,False,2,Stacey,"{'confidence': 0.03519487380981445, 'final': False}",0.04
17,131,False,3,Stacey,"{'confidence': 0.05509486794471741, 'final': False}",0.06
32,131,False,3,Stacey,"{'confidence': 0.052321907132864, 'final': False}",0.05
15,131,False,4,Stacey,"{'confidence': 0.04245007038116455, 'final': False}",0.04
15,131,False,4,Stacey,"{'confidence': 0.04245007038116455, 'final': False}",0.04
20,132,False,0,The Message,"{'confidence': 0.045981016010046005, 'final': False}",0.05
33,132,False,0,The Message,"{'confidence': 0.04215283691883087, 'final': False}",0.04
16,132,False,1,The Message,"{'confidence': 0.031168963760137558, 'final': False}",0.03
26,132,False,1,The Message,"{'confidence': 0.013858220539987087, 'final': False}",0.01
19,132,False,2,"""The Message","{'confidence': 0.006780099123716354, 'final': False}",0.01
13,132,False,3,"""The Message","{'confidence': 0.005643938668072224, 'final': False}",0.01
13,132,False,3,"""The Message","{'confidence': 0.005643938668072224, 'final': False}",0.01
18,133,False,0,operator,"{'confidence': 0.018727056682109833, 'final': False}",0.02
29,133,False,0,The other operator,"{'confidence': 0.01399250142276287, 'final': False}",0.01
16,133,False,1,The other operator,"{'confidence': 0.009097570553421974, 'final': False}",0.01
35,133,False,1,"retransmitting ""How are you receiving me?""","{'confidence': 0.0067363460548222065, 'final': False}",0.01
39,133,False,1,other operator,"{'confidence': 0.007257256656885147, 'final': False}",0.01
17,133,False,2,"How are you receiving me?""","{'confidence': 0.006125995889306068, 'final': False}",0.01
30,133,False,2,operator,"{'confidence': 0.004177934490144253, 'final': False}",0.00
17,133,False,3,"How are you receiving me?""","{'confidence': 0.0011058059753850102, 'final': False}",0.00
18,133,False,3,The other operator,"{'confidence': 0.0012551195686683059, 'final': False}",0.00
18,133,False,3,The other operator,"{'confidence': 0.0012551195686683059, 'final': False}",0.00
17,134,False,0,Aruna Red Letter Tim Corley Far From Nowhere Marissa Ponticorvo,"{'confidence': 0.0807274580001831, 'final': False}",0.08
22,134,False,0,Far From Nowhere,"{'confidence': 0.10315859317779541, 'final': False}",0.10
17,134,False,1,Aruna Red Letter Tim Corley Far From Nowhere,"{'confidence': 0.03327449783682823, 'final': False}",0.03
17,134,False,2,Aruna Red Letter Tim Corley Far From Nowhere,"{'confidence': 0.030988505110144615, 'final': False}",0.03
25,134,False,2,Aruna Red Letter,"{'confidence': 0.025380777195096016, 'final': False}",0.03
13,134,False,3,Aruna Red Letter,"{'confidence': 0.03071177750825882, 'final': False}",0.03
30,134,False,3,Aruna Red Letter Tim Corley Far From Nowhere,"{'confidence': 0.023224707692861557, 'final': False}",0.02
39,134,False,3,Aruna Red Letter,"{'confidence': 0.016396239399909973, 'final': False}",0.02
39,134,False,3,Aruna Red Letter,"{'confidence': 0.016396239399909973, 'final': False}",0.02
