evidence,final,sentence,weight,page,question,word
"{'confidence': 0.08753445744514465, 'final': False}",False,0,0.09,How are you receiving me,135,17
"{'confidence': 0.009811324998736382, 'final': False}",False,0,0.01,The other operator,135,27
"{'confidence': 0.004860281478613615, 'final': False}",False,1,0.00,"""How are you receiving me?""",135,21
"{'confidence': 0.0039442796260118484, 'final': False}",False,1,0.00,"""How are you receiving me?""",135,28
"{'confidence': 0.00441218726336956, 'final': False}",False,2,0.00,The other operator,135,16
"{'confidence': 0.002986123552545905, 'final': False}",False,2,0.00,"""How are you receiving me?""",135,30
"{'confidence': 0.005854230374097824, 'final': False}",False,3,0.01,"""How are you receiving me?""",135,15
"{'confidence': 0.0026205468457192183, 'final': False}",False,3,0.00,"""How are you receiving me?""",135,22
"{'confidence': 0.0026933157350867987, 'final': False}",False,4,0.00,The other operator,135,12
"{'confidence': 0.0015324862906709313, 'final': False}",False,5,0.00,"retransmitting ""How are you receiving me?""",135,16
"{'confidence': 0.0014641532907262444, 'final': False}",False,5,0.00,"How are you receiving me?""",135,29
"{'confidence': 0.0014641532907262444, 'final': False}",False,5,0.00,"How are you receiving me?""",135,29
"{'confidence': 0.02013394981622696, 'final': False}",False,0,0.02,Winry reveals she has prepared a new automail,136,16
"{'confidence': 0.013893675059080124, 'final': False}",False,0,0.01,Winry reveals she has prepared a new automail,136,18
"{'confidence': 0.018395908176898956, 'final': False}",False,1,0.02,Winry reveals she has prepared a new automail,136,18
"{'confidence': 0.0109461210668087, 'final': False}",False,1,0.01,Winry reveals she has prepared a new automail,136,31
"{'confidence': 0.009014534763991833, 'final': False}",False,1,0.01,Winry reveals she has prepared a new automail,136,33
"{'confidence': 0.006042651366442442, 'final': False}",False,2,0.01,automail,136,19
"{'confidence': 0.0073622846975922585, 'final': False}",False,2,0.01,automail,136,22
"{'confidence': 0.0036617224104702473, 'final': False}",False,3,0.00,automail,136,15
"{'confidence': 0.0008196608396247029, 'final': False}",False,4,0.00,Winry reveals she has prepared a new automail,136,17
"{'confidence': 0.0011814364697784185, 'final': False}",False,4,0.00,automail,136,22
"{'confidence': 0.0011814364697784185, 'final': False}",False,4,0.00,automail,136,22
"{'confidence': 0.009141910821199417, 'final': False}",False,0,0.01,operator,137,17
"{'confidence': 0.011099386028945446, 'final': False}",False,0,0.01,The other operator,137,24
"{'confidence': 0.007320625241845846, 'final': False}",False,1,0.01,The other operator,137,19
"{'confidence': 0.0073375338688492775, 'final': False}",False,1,0.01,"retransmitting ""How are you receiving me?""",137,23
"{'confidence': 0.004964578431099653, 'final': False}",False,2,0.00,The other operator,137,17
"{'confidence': 0.004966459237039089, 'final': False}",False,2,0.00,"How are you receiving me?""",137,20
"{'confidence': 0.0022186757996678352, 'final': False}",False,3,0.00,The other operator,137,17
"{'confidence': 0.002482116688042879, 'final': False}",False,3,0.00,The other operator,137,18
"{'confidence': 0.00039412398473359644, 'final': False}",False,4,0.00,The other operator,137,18
"{'confidence': 0.0003604486701078713, 'final': False}",False,4,0.00,The other operator,137,23
"{'confidence': 0.0003604486701078713, 'final': False}",False,4,0.00,The other operator,137,23
"{'confidence': 0.02208152413368225, 'final': False}",False,0,0.02,Ashoka,138,19
"{'confidence': 0.010170564986765385, 'final': False}",False,0,0.01,All three versions contain the same message,138,31
"{'confidence': 0.012801405973732471, 'final': False}",False,1,0.01,All three versions contain the same message,138,18
"{'confidence': 0.008813957683742046, 'final': False}",False,1,0.01,All three versions contain the same message,138,19
"{'confidence': 0.007262057159096003, 'final': False}",False,2,0.01,All three versions contain the same message,138,17
"{'confidence': 0.004779359791427851, 'final': False}",False,3,0.00,All three versions contain the same message,138,20
"{'confidence': 0.003466689959168434, 'final': False}",False,3,0.00,All three versions contain the same message,138,27
"{'confidence': 0.0011223785113543272, 'final': False}",False,4,0.00,All three versions contain the same message,138,11
"{'confidence': 0.0011223785113543272, 'final': False}",False,4,0.00,All three versions contain the same message,138,11
"{'confidence': 0.009558863006532192, 'final': False}",False,0,0.01,operator,139,20
"{'confidence': 0.011334137059748173, 'final': False}",False,0,0.01,The other operator,139,32
"{'confidence': 0.010349126532673836, 'final': False}",False,1,0.01,The other operator,139,17
"{'confidence': 0.0071816775016486645, 'final': False}",False,1,0.01,The other operator,139,31
"{'confidence': 0.004807882010936737, 'final': False}",False,2,0.00,"How are you receiving me?""",139,15
"{'confidence': 0.0037754192017018795, 'final': False}",False,2,0.00,The other operator,139,23
"{'confidence': 0.0011932625202462077, 'final': False}",False,3,0.00,"How are you receiving me?""",139,15
"{'confidence': 0.0006263891118578613, 'final': False}",False,3,0.00,The other operator,139,20
"{'confidence': 0.0006263891118578613, 'final': False}",False,3,0.00,The other operator,139,20
