ID,Word Count,Statement,Answer,Confidence Score,Answered?
0,69,"As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer, and ""The Invisible Woman"" where a former department store model becomes invisible to punish her former boss.",Error,-100,No
1,108,"In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving. Spells cast with the purpose of leaving Barovia, like teleport, simply fail, and Strrahd's spies are meant to check in on the player characters each day and night they are in Barovia.",Error,-100,No
2,62,"Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies, TV shows, and games. But in an Order-66 style purge, Disney demoted properties like the animated ""Star Wars: The Clone Wars"" TV show, the ""Star Wars Holiday Special"", and the General Thrawn novels to non-canon 'Legend' status.",Error,-100,No
3,44,"In Resident Evil 4, pleayers will be shocked to learn that the cult members of a village are not actually zombies, but actually hosts to parasitic organism known as ""Las Plagas"" which were developed by supporting protagonist Luis Sera and game antagonist Osmund Saddler.",Error,-100,No
4,72,"Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play, and Hugo, a butler who knocked Spider-Man unconscious with a brick. Peter Parker also assumed the alternative identity Gown Man when, wearing only a very short hospital gown, he had to escape a doctor trying to steal his blood.",Error,-100,No
5,78,"While you probably know that Prince Adam uses the phrase ""By the Power of Greyskull"" to turn into He-Man, you may not remember the phrase he uses to turn from He-Man back into Prince Adam: ""Let the Power Return!"" That's because He-Man said it in only one episode of his 80's TV series. ""The Problem with Power,"" when he gave up being He-Man after Skeletor tricked him into thinking using his powers would cause Castle Greyskull to explode.",Error,-100,No
6,66,"During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book. As a result, there was a Solar Eclipse, the eyes of the umpires turned white, Jaylen Hotdogfingers was incinerated, a Hellmouth spawned and swallowed the Moab Desert, and the Discipline Era began. But everyone agreed, the Commissioner did a great job!",Error,-100,No
7,59,80's cartoons loved thrusting live-action sitcom characters into sci-fi and fantasy settings. Various animated spinoffs stranded Gilligan and the SS Minnow gang on an alien planet after their homemade rocket crashed; relocated Laverne and Shirley to Transylvania with a vampirre Squiggy; and sent the Fonz and his friends traveling to the future and past in a broken time machine.,Error,-100,No
8,51,"Early in the game Bloodborne, the player can find a note in losefka's Clinic that gives them their primary objective: ""Seek Paleblood to transcend the hunt."" Paleblood is one name for the optional final boss of the game, the Moon Presence, which is also believed to have a third name: Flora.",Error,-100,No
9,75,"Sewing a button back onto a shirt is a deceptively easy skill, but here are some tips to make it easier: Cut a long length of string to give yourself room, double knot the end of the string to keep it from coming through the fabric, always keep the string taut as you move between button holes, and pass the string through each button hole between 6-8 times to ensure it stays on this time!",Error,-100,No
10,63,"Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."" It includes some wild ingredients, like the tooth of an Algolian Suntiger, three cubes of Arcturan Mega-gin, and strangest of all, you have to add a slice of lemon.",Error,-100,No
11,44,"Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures, and its feasts. Dishes like Shrewbread Bubbling Bobbs, and Deeper'n'Ever Turnip'n'Tater'n'Beetroot Pie appear in the books, and rabbits are notorious for eating portions well pass what would be expected of them.",Error,-100,No
12,59,"In Cathy Yan's ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"" Harley describes the perfect egg sandwich: eggs, bacon, a soft buttered roll, American cheese at least 6 months out of date, and stray Armenian arm hair. Unfortunately, Harley never gets to eat one in the movie because Renne Montoya knocks it out of her hands.",Error,-100,No
13,57,"In ""Dragon Age: Origins,"" players and their companions can consume a variety of questionable brews. In addition to drinking the standard health potions, stamina draughts, and lyrium potions offered throughout the game, characters can gulp down such delicacies as Antivan brandy, dwarven regicide antidote, a vial of concentrated blood magic, and even a goblet of darkspawn blood.",Error,-100,No
14,51,"Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food. In Captain Pike's day, the food synthesizers build meals out of glucose matrix; by the 31st century depicted in Discovery, the Federation could craft near-perfect simulations of real food out of quantum foam.",Error,-100,No
15,62,"Blue milk is enjoyed in the Star Wars universe by heroes and villains alike. Luke Skywalker drank it as a teen on Tatooine in ""A New Hope"" and as an old man on Ahch-To in ""The Last Jedi,"" and when a disgraced Syril Karn had to move back to his mother's apartment in ""Andor,"" he often had it in his breakfast cereal.",Error,-100,No
16,43,"In ""Our Town,"" a particularly gruesome X-Files episode, Mulder and Scully investigate an Arkansas chicken processing plant, where human beings are slaughtered by the evil Cigarette Smoking Man and his allies in the Syndicate and turned into food slurry for future alien colonists.",Error,-100,No
17,54,"In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it, it's partially rotten and a huge disappointment. This happens in 1966, the same year the Beatles came to Japan.",Error,-100,No
18,70,"Despite appearing in 137 episodes of fandom-themed game show ""Um, Actually,"" Mike Trapp has only ever acquired 5 points.  Four were from season 4, episode 9, for questions on Power Rangers, The Sound of Music, 20,000 Leagues Under the Sea, and Star Wars. One is from season 5, epside 14, gifted to him by contestant James Willems, to make it clear that the episode had 3 winners and one loser.",Error,-100,No
19,49,"Although we've all seen old-timey shows where soldiers and pirates clean their wounds with whiskey, it's definitely not recommended. No matter how cool it might look to pour a hard liquor onto an open cut, only an isopropyl alcohol of 70% or higher should be used to clean wounds.",Error,-100,No
20,82,"While you've definitely heard the classic monster party song ""The Monster Mash,"" you may not know that the song's singer and creator, Bobby ""Boris"" Pickett, spent the rest of his career creating other monster-themed songs, including the ""Transylvania Twist,"" the ""Skully Gully,"" and the Christmas song ""Monster's Holiday,"" where the monsters try and rob Santa. His final song was the 1976 disco single ""King Kong (Your Song),"" which featured the immortal lyrics ""King Kong, King Kong, The White Man Done Your Wrong.""",Error,-100,No
21,61,"Only seven years after the team was first introduced in DC comics, The Justice League made their TV debut in 1967 as part of Filmmation's ""Superman/Aquaman Hour of Adventure"" show. However, this version of the team was all male, featuring Superman, The Atom, The Flash, Green Lantern, Hawkman and Aquaman. Wonder Woman wouldn't get her animated debut until 1973's ""Super Friends.""",Error,-100,No
22,53,"The SNES game The Legend of Zelda: A Link To The Past has our hero Link traveling between the light world and it's corresponding dark world locations. The Skeleton Forest is the Dark World's reflection of the Lost Woods, and the final battle is in Ganon's tower, which corresponds with Hyrule Castle Tower.",Error,-100,No
23,68,"Pinball was illegal in much of the country for many years due to its reputation as a gambling game. In 1976, Roger Sharpe demonstrated to a Manhattan court that Pinball had over the years become a game of skill by making a called shot that he himself considers pretty lucky. The ban in New York City was lifted immediately, and the rest of the country shortly followed suit.",Error,-100,No
24,40,"In the summer of 2023, the James Webb Space Telescope team at NASA discovered what looks like a ""question mark"" in the background of an image of two actively forming young stars named Herbig-Haro-46 & Herbig-Haro-47 in the Vela Constellation.",Error,-100,No
25,52,"Animal Crossing: New Horizon is the number two best selling game of all time on the Nintendo Switch, just after The Legend of Zelda: Breath of the Wild. It has sold more copies than every other Animal Crossing game combined, and in Japan, it is the best selling game of all time.",Error,-100,No
26,40,"Bugs Bunny didn't just deploy his famous drag personas for his own amusement. He also used them to arouse and befuddle various racists and would-be conquerors, including Napoleon, Adolf Hitler, a Confederate officer, and the ancient Germanic culture hero Siegfried.",Error,-100,No
27,65,"Mortal Kombat is beloved for its intense finishers, but it isn't all fatalities! A Quitality is an online-only finisher that makes the quitting player explode, Babalities turn the losing enemy into a smoking-hot babe, and Friendships are finishers that perform an act of kindness: Sub-Zero brings in an ice cream cart, Liu Kang disco dances, and Scorpion gives a big hug to a teddy bear.",Error,-100,No
28,59,"In the notorious gender-bending Star Trek: The Next Generation episode ""Angel One,"" the Enterprise visits the title planet, a matriarchy where women rule and men are subservient, and the crew must adapt to their local customs and clothing. However, the planet's leader, Beata, is shunned by her people after being caught making out with the overly manly Commander Riker.",Error,-100,No
29,61,"Removing makeup can be a real pain, but according to dermatologists, there are some ways to make it a little easier without hurting your skin. Using your hands instead of a washcloth can avoid irritating the skin, avoiding oil-based cleaners will keep your skin from becoming too oily, and micellar water does double duty in removing makeup and hydrating the skin.",Error,-100,No
30,48,"In the Halo video game series, the alien alliance known as the Covenant marks their history in the following order; The Age of Abandonment, The Age of Conflict, The Age of Reconciliation, The Age of Discovery, The Age of Conversion, The Age of Doubt, The Age of Reclamation.",Error,-100,No
31,73,"When the US company World Events Productions wanted to bring the Japanese anime ""Beast King GoLion"" to America under the name ""Voltron,"" there weren't enough episodes to syndicate the show in America. So they combined it with two other unrelated anime, ""Armored Fleet Dairugger XV"" and ""Lightspeed Electriod Albegas,"" which were renamed to ""Vehicle Team Voltron"" and ""Gladiator Voltron,"" although the popularity of the GoLion series meant that they never used Gladiator Voltron.",Error,-100,No
