ID,Statement Number,Word Count,Sentence Number,Chunk ID,Chunk,Answer,Confidence Score,Answered?
0,0,10,1," After the success of Episode 1 – The Phantom Menace,",f9fd2ce2,Correct.,-2.75611825e-07,No
0,0,28,2," After the success of Episode 1 – The Phantom Menace, George Lucas released the special edition of the original Star Wars trilogy with a number of controversial changes,",cd91717d,"Um, actually, the Special Edition of the original Star Wars trilogy was released in 1997, which was before the release of Episode I – The Phantom Menace, not after its success.",-0.12937726572252564,Yes
1,1,10,1," Six Flags might have parks all over the country now,",e4289cbc,"Um, actually, Six Flags does not have parks ""all over the country"" as they do not operate in every state in the United States.",-0.2959830336827545,Yes
2,2,19,1," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty,",c3e4ed92,Correct.,-4.5441732e-07,No
2,2,28,2," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is,",99dcb972,Correct.,-3.948155e-07,No
2,2,30,3," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact,",80be97ba,Correct.,-4.5441732e-07,No
2,2,31,4," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact, Earth.",c72c52db,Correct.,-3.948155e-07,No
2,2,52,5," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact, Earth. Tim Burton's 2001 remake updates this twist by making the planet an alien world but when Mark Wahlberg returns to Earth,",3cfce0de,Correct.,-5.140192e-07,No
2,2,62,6," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact, Earth. Tim Burton's 2001 remake updates this twist by making the planet an alien world but when Mark Wahlberg returns to Earth, he finds that the Statue of Liberty is an ape.",4be2d7cd,"Um, actually, the 2001 remake of *Planet of the Apes* does not depict the Statue of Liberty as an ape. Instead, it features a version of the Lincoln Memorial replaced by a statue of General Thade, an ape.",-0.14010458592357905,Yes
3,3,2,1," In Hades,",8193cc65,Correct.,-6.704273250000001e-07,No
3,3,12,2," In Hades, players control Zagreus as he attempts to escape the Underworld.",eea3679d,Correct.,-3.948155e-07,No
3,3,19,3," In Hades, players control Zagreus as he attempts to escape the Underworld. He battles through its levels of Tartarus,",ea9a9935,Correct.,-1.52725035e-06,No
3,3,20,4," In Hades, players control Zagreus as he attempts to escape the Underworld. He battles through its levels of Tartarus, Asphodel,",18021300,Correct.,-9.3123195e-07,No
3,3,36,5," In Hades, players control Zagreus as he attempts to escape the Underworld. He battles through its levels of Tartarus, Asphodel, Elysium and The Temple of Styx before a final boss battle on the surface in Greece.",4913ce53,"Um, actually, the final boss battle in *Hades* takes place on the surface outside the exit of the underworld, not explicitly in Greece.",-0.19319929330765648,Yes
4,4,13,1, Dungeons and Dragons has had several iterations since its creation in the 1970s.,20860662,Correct.,-6.3322285e-07,No
4,4,21,2," Dungeons and Dragons has had several iterations since its creation in the 1970s. It includes the first version of the game,",aec36442,Correct.,-2.9458111825e-05,No
4,4,45,3," Dungeons and Dragons has had several iterations since its creation in the 1970s. It includes the first version of the game, fittingly called First Edition; ""Second Edition,"" which along with the ""First Edition,"" was part of ""Advanced D&D,"" ""Third Edition 3.5E,"" also known as V.3.5,",f33e408a,"Um, actually, the first version of Dungeons & Dragons was not called ""First Edition"" but simply ""Dungeons & Dragons"" when it was released in 1974. The term ""First Edition"" is used retroactively and typically refers to ""Advanced Dungeons & Dragons,"" which was released in 1977.",-0.04756163421117276,Yes
