sentence,word,question,weight,evidence,page,final
0,21,105,0.02,"{'confidence': 0.016244923695921898, 'final': False}",The other operator,False
0,24,105,0.01,"{'confidence': 0.011931896209716797, 'final': False}",The other operator,False
1,21,105,0.01,"{'confidence': 0.011599288322031498, 'final': False}",The other operator,False
1,25,105,0.01,"{'confidence': 0.01342048030346632, 'final': False}",The other operator,False
2,20,105,0.01,"{'confidence': 0.009434417821466923, 'final': False}",The other operator,False
2,26,105,0.01,"{'confidence': 0.007579304743558168, 'final': False}",The other operator,False
3,17,105,0.00,"{'confidence': 0.0014215613482519984, 'final': False}",The other operator,False
3,19,105,0.00,"{'confidence': 0.0010031763231381774, 'final': False}",The other operator,False
3,19,105,0.00,"{'confidence': 0.0010031763231381774, 'final': False}",The other operator,False
0,17,106,0.03,"{'confidence': 0.02661854214966297, 'final': False}",Daily News,False
0,27,106,0.03,"{'confidence': 0.034720342606306076, 'final': False}",Daily News,False
1,15,106,0.01,"{'confidence': 0.012331529520452023, 'final': False}",Daily News,False
1,20,106,0.01,"{'confidence': 0.00894575472921133, 'final': False}",.44 Caliber Killer,False
2,18,106,0.01,"{'confidence': 0.008303563110530376, 'final': False}",.44 Caliber Killer,False
2,19,106,0.01,"{'confidence': 0.009041442535817623, 'final': False}",.44 Caliber Killer,False
3,18,106,0.01,"{'confidence': 0.009224935434758663, 'final': False}",.44 Caliber Killer,False
4,13,106,0.02,"{'confidence': 0.016099456697702408, 'final': False}",.44 Caliber Killer,False
4,13,106,0.02,"{'confidence': 0.016099456697702408, 'final': False}",.44 Caliber Killer,False
0,19,107,0.05,"{'confidence': 0.04629049450159073, 'final': False}",The other operator,False
0,26,107,0.02,"{'confidence': 0.018071429803967476, 'final': False}",The other operator,False
1,15,107,0.01,"{'confidence': 0.010611027479171753, 'final': False}",The other operator,False
1,29,107,0.01,"{'confidence': 0.007782428991049528, 'final': False}",The other operator,False
2,19,107,0.00,"{'confidence': 0.0049312724731862545, 'final': False}","How are you receiving me?""",False
2,22,107,0.01,"{'confidence': 0.00506648188456893, 'final': False}","How are you receiving me?""",False
3,19,107,0.00,"{'confidence': 0.0010302981827408075, 'final': False}",The other operator,False
3,22,107,0.00,"{'confidence': 0.0008934930083341897, 'final': False}","How are you receiving me?""",False
3,22,107,0.00,"{'confidence': 0.0008934930083341897, 'final': False}","How are you receiving me?""",False
0,4,108,0.37,"{'confidence': 0.3730989694595337, 'final': True}",initiator ready,True
1,18,108,0.42,"{'confidence': 0.42354118824005127, 'final': True}",initiator ready,True
1,21,108,0.45,"{'confidence': 0.45258215069770813, 'final': True}",initiator ready,True
2,18,108,0.33,"{'confidence': 0.3288864493370056, 'final': True}",initiator ready,True
2,26,108,0.30,"{'confidence': 0.2969599664211273, 'final': True}",initiator ready,True
3,8,108,0.38,"{'confidence': 0.3806343674659729, 'final': True}",initiator ready,True
4,11,108,0.37,"{'confidence': 0.3671818673610687, 'final': True}",initiator ready,True
5,18,108,0.09,"{'confidence': 0.08548203110694885, 'final': False}",initiator ready),False
5,26,108,0.05,"{'confidence': 0.0499609000980854, 'final': False}",initiator ready),False
5,26,108,0.05,"{'confidence': 0.0499609000980854, 'final': False}",initiator ready),False
0,19,109,0.03,"{'confidence': 0.03363789618015289, 'final': False}",Ed,False
0,31,109,0.01,"{'confidence': 0.012678561732172966, 'final': False}",Winry,False
1,17,109,0.01,"{'confidence': 0.0074075800366699696, 'final': False}",Winry,False
1,31,109,0.01,"{'confidence': 0.008528642356395721, 'final': False}",Winry reveals she has prepared a new automail,False
2,23,109,0.01,"{'confidence': 0.005884157959371805, 'final': False}",Winry reveals she has prepared a new automail,False
2,25,109,0.01,"{'confidence': 0.005356633570045233, 'final': False}",Winry reveals she has prepared a new automail,False
3,18,109,0.00,"{'confidence': 0.0042449701577425, 'final': False}",Winry reveals she has prepared a new automail,False
3,29,109,0.00,"{'confidence': 0.00404599541798234, 'final': False}",Winry reveals she has prepared a new automail,False
3,29,109,0.00,"{'confidence': 0.00404599541798234, 'final': False}",Winry reveals she has prepared a new automail,False
