ID,Statement Number,Word Count,Sentence Number,Chunk ID,Chunk,Answer,Confidence Score,Answered?
0,0,52,5," As the original ""Invisible Man"", Jack Griffin dies at the end of the 1933 film. Universal decided to continue the franchise focusing on other invisible characters. Those films include ""Invisible Agent,"" where Griffin's grandson becomes invisible to fight Nazis, ""The Invisible Boy,"" where Griffin's great-grandson becomes invisible to fight an evil supercomputer,",01179f22,"Um, actually, ""The Invisible Boy"" is not part of the ""Invisible Man"" franchise, and it does not feature Jack Griffin's great-grandson becoming invisible to fight an evil supercomputer. It is a standalone film with no familial connection to Griffin.",-0.13449506049973942,Yes
1,1,76,6," In the D&D 5e dread adventure ""Curse of Strahd,"" several game mechanics play into the horror theme, making it not only scary for the players but also potentially frustrating. For instance, when Strahd von Zarovich is reduced to 0 hit points, he doesn't actually die but turns into mist and retreats to his coffin. The Mists of Ravenloft are a deadly fog surrounding the land of Barovia that magically prevent all characters and creatures from leaving.",8d067de4,"Um, actually, while the Mists of Ravenloft do magically prevent most characters and creatures from leaving Barovia, they are not explicitly described as a ""deadly fog."" Additionally, some exceptions to their effects exist, such as for certain powerful beings or individuals with specific abilities or items.",-0.3386197833063873,Yes
2,2,25,2," Before 2015, Lucasfilm maintained an elaborate database called the Holocron that established five different levels of canon for all the officially licensed Star Wars movies,",fc752252,"Um, actually, the Holocron did not specifically apply to all officially licensed Star Wars movies in the same way as other media, as the movies were always considered the highest level of canon (G-canon) and were not subject to the broader hierarchy established for other Star Wars content.",-0.26858758891820694,Yes
3,3,44,3," In Resident Evil 4, pleayers will be shocked to learn that the cult members of a village are not actually zombies, but actually hosts to parasitic organism known as ""Las Plagas"" which were developed by supporting protagonist Luis Sera and game antagonist Osmund Saddler.",e174e6b9,"Um, actually, Luis Sera did not develop Las Plagas; he conducted research on the parasites after their rediscovery but was not responsible for their creation. Similarly, Osmund Saddler did not develop Las Plagas; they are ancient organisms that he exploited to control others.",-0.2640204091053625,Yes
4,4,54,8," Earth--77013, the continuity depicted in the Amazing Spider-Man newspaper comic strip, featured a number of unique villains, including Clown-9, an actor enraged because he wasn't allowed to improv jokes in a Broadway play, and Hugo, a butler who knocked Spider-Man unconscious with a brick. Peter Parker also assumed the alternative identity Gown Man when,",7cea1692,"Um, actually, in Earth-77013, it is not depicted in the Amazing Spider-Man newspaper comic strip that Peter Parker assumes the alternative identity of ""Gown Man."" There is no canonical evidence of ""Gown Man,"" nor is it a documented alternative identity of Peter Parker.",-0.3134967080159806,Yes
5,5,30,2," While you probably know that Prince Adam uses the phrase ""By the Power of Greyskull"" to turn into He-Man, you may not remember the phrase he uses to turn from",e6cef2f7,"Um, actually, Prince Adam does not use any specific phrase to turn back from He-Man into Prince Adam. The transformation back is usually implied or occurs without a catchphrase.",-0.22872078538283716,Yes
6,6,33,5," During the first season of Blaseball (the absurdist baseball simulation horror game), the Commissioner opened the Book of Blaseball, also known as The Forbidden Book. As a result, there was a Solar Eclipse,",1858e0d2,"Um, actually, the opening of the Book of Blaseball during the first season did not directly result in a Solar Eclipse. Solar Eclipses are part of the game's narrative weather conditions and are not caused by the opening of the Book.",-0.2065430632722653,Yes
7,7,12,1, 80's cartoons loved thrusting live-action sitcom characters into sci-fi and fantasy settings.,bce71da9,"Um, actually, 80's cartoons did not frequently include live-action sitcom characters, nor did they often place them into fantasy settings. While there were isolated examples (e.g., ""The Fonz and the Happy Days Gang""), such instances were not widespread or indicative of the broader trends in 1980s cartoons.",-0.4924976915307961,Yes
8,8,20,2," Early in the game Bloodborne, the player can find a note in losefka's Clinic that gives them their primary objective:",3e15e6f9,"Um, actually, there is no note in Iosefka's Clinic in Bloodborne that gives the player their primary objective.",-0.011051596546201923,Yes
9,9,31,2," Sewing a button back onto a shirt is a deceptively easy skill, but here are some tips to make it easier: Cut a long length of string to give yourself room,",2b8264ef,"Um, actually, cutting a very long length of string is not recommended for sewing a button, as it can tangle or knot easily. A moderate length of thread, around 18-24 inches, is more manageable.",-0.24803831516687327,Yes
10,10,51,5," Zaphod Beeblebrox, an important character in ""The Hitchhiker's Guide to the Galaxy,"" invented a cocktail called the Pan-Galactic Gargle Blaster, decribed as ""the alcoholic equivalent of a mugging-- expensive and bad for the head."" It includes some wild ingredients, like the tooth of an Algolian Suntiger, three cubes of Arcturan Mega-gin,",6e7c965d,"Um, actually, the Pan-Galactic Gargle Blaster does not include ""three cubes of Arcturan Mega-gin"" as an ingredient. The recipe calls for ""one measure of Arcturan Mega-gin.""",-0.06705521151162826,Yes
11,11,21,4," Brian Jacques' ""Redwall"" series is known for its anthropomorphic critters, its fantastical adventures, and its feasts. Dishes like Shrewbread Bubbling Bobbs,",7a1ed147,"Um, actually, dishes like Shrewbread and Bubbling Bobbs are not featured in the ""Redwall"" series.",-0.012854556356795601,Yes
12,12,21,1," In Cathy Yan's ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"" Harley describes the perfect egg sandwich: eggs,",c5f479da,"Um, actually, Harley Quinn's description of the perfect egg sandwich in ""Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)"" does not include only eggs; it also includes bacon, melted cheese, hot sauce, and a buttered, toasted roll.",-0.07637783424288415,Yes
13,13,15,1," In ""Dragon Age: Origins,"" players and their companions can consume a variety of questionable brews.",02f8ed2e,"Um, actually, players and their companions in ""Dragon Age: Origins"" cannot directly consume brews. While potions like health and mana potions are used as gameplay items, there is no mechanic or narrative involving the consumption of ""questionable brews"" in the traditional sense.",-0.2133351825090281,Yes
