sentence,word,evidence,page,final,weight,question
0,17,"{'confidence': 0.01264883205294609, 'final': False}",operator,False,0.01,115
0,32,"{'confidence': 0.01831159181892872, 'final': False}",The other operator,False,0.02,115
0,33,"{'confidence': 0.015066116116940975, 'final': False}",The other operator,False,0.02,115
1,19,"{'confidence': 0.008841502480208874, 'final': False}",The other operator,False,0.01,115
1,21,"{'confidence': 0.00768245430663228, 'final': False}",The other operator,False,0.01,115
2,18,"{'confidence': 0.007476567756384611, 'final': False}",The other operator,False,0.01,115
2,23,"{'confidence': 0.006910192314535379, 'final': False}",The other operator,False,0.01,115
3,16,"{'confidence': 0.0030794835183769464, 'final': False}","retransmitting ""How are you receiving me?""",False,0.00,115
3,21,"{'confidence': 0.001685144379734993, 'final': False}","""How are you receiving me?""",False,0.00,115
3,21,"{'confidence': 0.001685144379734993, 'final': False}","""How are you receiving me?""",False,0.00,115
0,19,"{'confidence': 0.0202180165797472, 'final': False}",operator,False,0.02,116
0,23,"{'confidence': 0.012849207036197186, 'final': False}",operator,False,0.01,116
1,18,"{'confidence': 0.012885324656963348, 'final': False}",The other operator,False,0.01,116
1,20,"{'confidence': 0.010915081948041916, 'final': False}",The other operator,False,0.01,116
2,17,"{'confidence': 0.008394800126552582, 'final': False}",The other operator,False,0.01,116
2,24,"{'confidence': 0.004951393697410822, 'final': False}",The other operator,False,0.00,116
3,17,"{'confidence': 0.0015954290283843875, 'final': False}",The other operator,False,0.00,116
3,20,"{'confidence': 0.0007593531045131385, 'final': False}",The other operator,False,0.00,116
3,20,"{'confidence': 0.0007593531045131385, 'final': False}",The other operator,False,0.00,116
0,8,"{'confidence': 0.4500628411769867, 'final': True}",Key,True,0.45,117
1,21,"{'confidence': 0.35817751288414, 'final': True}",Grimes,True,0.36,117
1,22,"{'confidence': 0.3542189300060272, 'final': True}",Grimes,True,0.35,117
2,18,"{'confidence': 0.12203288823366165, 'final': False}",Grimes,False,0.12,117
2,20,"{'confidence': 0.05384253337979317, 'final': False}",Grimes,False,0.05,117
3,17,"{'confidence': 0.045846935361623764, 'final': False}",Key,False,0.05,117
3,33,"{'confidence': 0.04743741452693939, 'final': False}",Key,False,0.05,117
4,19,"{'confidence': 0.04180794209241867, 'final': False}",Key,False,0.04,117
4,22,"{'confidence': 0.04558055102825165, 'final': False}",Key,False,0.05,117
5,19,"{'confidence': 0.011815972626209259, 'final': False}",Key,False,0.01,117
5,36,"{'confidence': 0.016206251457333565, 'final': False}",Key,False,0.02,117
5,36,"{'confidence': 0.016206251457333565, 'final': False}",Key,False,0.02,117
0,17,"{'confidence': 0.019766204059123993, 'final': False}",The other operator,False,0.02,118
0,25,"{'confidence': 0.02132982574403286, 'final': False}",The other operator,False,0.02,118
1,18,"{'confidence': 0.01467935461550951, 'final': False}",The other operator,False,0.01,118
1,35,"{'confidence': 0.013863923959434032, 'final': False}",The other operator,False,0.01,118
1,37,"{'confidence': 0.01175854355096817, 'final': False}",The other operator,False,0.01,118
2,14,"{'confidence': 0.010195326060056686, 'final': False}",The other operator,False,0.01,118
3,17,"{'confidence': 0.005567262880504131, 'final': False}",The other operator,False,0.01,118
3,22,"{'confidence': 0.00348837673664093, 'final': False}",The other operator,False,0.00,118
3,22,"{'confidence': 0.00348837673664093, 'final': False}",The other operator,False,0.00,118
0,15,"{'confidence': 0.07571182399988174, 'final': False}",Stacey gives Sean's number to Jean,False,0.08,119
1,18,"{'confidence': 0.04455021023750305, 'final': False}",Stacey gives Sean's number to Jean,False,0.04,119
1,19,"{'confidence': 0.049985915422439575, 'final': False}",Stacey gives Sean's number to Jean,False,0.05,119
2,19,"{'confidence': 0.05444443225860596, 'final': False}",Stacey,False,0.05,119
2,19,"{'confidence': 0.05444443225860596, 'final': False}",Stacey,False,0.05,119
3,18,"{'confidence': 0.04782895743846893, 'final': False}",Stacey,False,0.05,119
3,18,"{'confidence': 0.04782895743846893, 'final': False}",Stacey,False,0.05,119
4,18,"{'confidence': 0.03102663904428482, 'final': False}",Stacey,False,0.03,119
4,19,"{'confidence': 0.037376902997493744, 'final': False}",Stacey,False,0.04,119
5,17,"{'confidence': 0.014396008104085922, 'final': False}",Stacey,False,0.01,119
5,24,"{'confidence': 0.011678572744131088, 'final': False}",Stacey,False,0.01,119
5,24,"{'confidence': 0.011678572744131088, 'final': False}",Stacey,False,0.01,119
