evidence,question,word,weight,sentence,final,page
"{'confidence': -0.0121646961164125, 'final': False}",128,7,-0.01,0,False,Elena Kagan
"{'confidence': -0.0500462621569125, 'final': False}",128,12,-0.05,0,False,Stare decisis
"{'confidence': -0.0521333989381625, 'final': False}",128,18,-0.05,0,False,Stare decisis
"{'confidence': -0.0037660433944125002, 'final': False}",128,23,-0.00,0,False,Stare decisis
"{'confidence': -0.0106977219565825, 'final': False}",128,23,-0.01,0,False,Stare decisis
"{'confidence': -0.00803782961732, 'final': False}",128,7,-0.01,1,False,Stare decisis
"{'confidence': -0.14633072887100002, 'final': False}",128,12,-0.15,1,False,Spider-Man
"{'confidence': -0.179641664166, 'final': False}",128,18,-0.18,1,False,Spider-Man: No More
"{'confidence': -0.10819076133436362, 'final': False}",128,7,-0.11,2,False,"Spider-Man: ""With great power comes great responsibility"""
"{'confidence': -0.13145021732862502, 'final': False}",128,13,-0.13,2,False,Spider-Man: Into the Spider-Verse
"{'confidence': -0.0007790651581250001, 'final': True}",128,19,-0.00,2,True,Spider-Man: Into the Spider-Verse
"{'confidence': -0.07530810836855, 'final': False}",128,26,-0.08,2,False,With great power comes great responsibility
"{'confidence': -0.0134506749028625, 'final': False}",128,32,-0.01,2,False,Spider-Man: Into the Spider-Verse
"{'confidence': -0.14960660421343333, 'final': False}",128,38,-0.15,2,False,With Great Power Comes Great Responsibility
"{'confidence': -0.008659219163, 'final': False}",128,40,-0.01,2,False,With Great Power Comes Great Responsibility
"{'confidence': -0.03740379922727167, 'final': False}",128,7,-0.04,3,False,With great power comes great responsibility
"{'confidence': -0.029497605047005004, 'final': False}",128,15,-0.03,3,False,With great power comes great responsibility
"{'confidence': -0.025385017747596664, 'final': False}",128,22,-0.03,3,False,With great power comes great responsibility
"{'confidence': -0.09223957735376669, 'final': False}",128,25,-0.09,3,False,With great power comes great responsibility
"{'confidence': -0.09223957735376669, 'final': False}",128,25,-0.09,3,False,With great power comes great responsibility
"{'confidence': -0.00017183277030624998, 'final': False}",129,8,-0.00,0,False,2023 FIBA Basketball World Cup
"{'confidence': -4.54454645e-06, 'final': True}",129,13,-0.00,0,True,Basketball
"{'confidence': -0.17709126240857143, 'final': False}",129,18,-0.18,0,False,2023 World Championship in Esports
"{'confidence': -0.04660052099426667, 'final': False}",129,24,-0.05,0,False,League of Legends
"{'confidence': -0.00095255213, 'final': True}",129,7,-0.00,1,True,Chess
"{'confidence': -0.04729203910566667, 'final': False}",129,12,-0.05,1,False,League of Legends
"{'confidence': -0.0004228281658666667, 'final': True}",129,18,-0.00,1,True,League of Legends
"{'confidence': -7.703443416666668e-06, 'final': True}",129,24,-0.00,1,True,League of Legends
"{'confidence': -4.08759905e-06, 'final': True}",129,29,-0.00,1,True,League of Legends
"{'confidence': -1.1869765166666666e-06, 'final': True}",129,36,-0.00,1,True,League of Legends
"{'confidence': -3.5313152100000003e-06, 'final': True}",129,39,-0.00,1,True,League of Legends
"{'confidence': -9.485691499999999e-07, 'final': True}",129,7,-0.00,2,True,League of Legends
"{'confidence': -6.3069276e-07, 'final': True}",129,13,-0.00,2,True,League of Legends
"{'confidence': -7.896309333333333e-07, 'final': True}",129,18,-0.00,2,True,League of Legends
"{'confidence': -4.4695154666666666e-07, 'final': True}",129,19,-0.00,2,True,League of Legends
"{'confidence': -4.469515766666666e-07, 'final': True}",129,7,-0.00,3,True,League of Legends
"{'confidence': -6.306927666666667e-07, 'final': True}",129,12,-0.00,3,True,League of Legends
"{'confidence': -7.896309933333333e-07, 'final': True}",129,17,-0.00,3,True,League of Legends
"{'confidence': -7.648279666666666e-07, 'final': True}",129,23,-0.00,3,True,League of Legends
"{'confidence': -4.469515766666666e-07, 'final': True}",129,25,-0.00,3,True,League of Legends
"{'confidence': -6.853588833333333e-07, 'final': True}",129,6,-0.00,4,True,League of Legends
"{'confidence': -5.909582266666667e-07, 'final': True}",129,11,-0.00,4,True,League of Legends
"{'confidence': -5.661552166666666e-07, 'final': True}",129,14,-0.00,4,True,League of Legends
"{'confidence': -5.661552166666666e-07, 'final': True}",129,14,-0.00,4,True,League of Legends
"{'confidence': -0.4974520043086667, 'final': False}",125,7,-0.50,0,False,Ancient Rome
"{'confidence': -0.00020313947660000002, 'final': True}",125,14,-0.00,0,True,Boyz n the Hood
"{'confidence': -0.1845098942441, 'final': False}",125,21,-0.18,0,False,John Singleton (director)
"{'confidence': -0.20290188331858, 'final': False}",125,24,-0.20,0,False,Boyz n the Hood
"{'confidence': -0.0074095047519999995, 'final': False}",125,7,-0.01,1,False,Ice Cube
"{'confidence': -0.017523177028300002, 'final': False}",125,13,-0.02,1,False,Ice Cube
"{'confidence': -0.0172547434265, 'final': False}",125,18,-0.02,1,False,Ice Cube
"{'confidence': -0.2458286140192, 'final': False}",125,23,-0.25,1,False,Ice Cube
"{'confidence': -0.0029518587599875, 'final': True}",125,29,-0.00,1,True,Kendrick Lamar
"{'confidence': -0.001757132825, 'final': True}",125,34,-0.00,1,True,Kendrick Lamar
"{'confidence': -3.919285866e-05, 'final': True}",125,6,-0.00,2,True,Kendrick Lamar
"{'confidence': -5.6397764124999995e-06, 'final': True}",125,11,-0.00,2,True,Kendrick Lamar
"{'confidence': -1.56408165e-07, 'final': True}",125,18,-0.00,2,True,Kendrick Lamar
"{'confidence': -3.6501459999999997e-07, 'final': True}",125,21,-0.00,2,True,Kendrick Lamar
"{'confidence': -2.2720866e-07, 'final': True}",125,7,-0.00,3,True,Kendrick Lamar
"{'confidence': -1.08005e-07, 'final': True}",125,14,-0.00,3,True,Kendrick Lamar
"{'confidence': -1.378059125e-07, 'final': True}",125,17,-0.00,3,True,Kendrick Lamar
"{'confidence': -7.82040825e-08, 'final': True}",125,7,-0.00,4,True,Kendrick Lamar
"{'confidence': -3.46412325e-07, 'final': True}",125,13,-0.00,4,True,Kendrick Lamar
"{'confidence': -4.84031625e-08, 'final': True}",125,18,-0.00,4,True,Kendrick Lamar
"{'confidence': -1.378059125e-07, 'final': True}",125,20,-0.00,4,True,Kendrick Lamar
"{'confidence': 0.0, 'final': True}",125,8,0.00,5,True,Kendrick Lamar
"{'confidence': -1.08005e-07, 'final': True}",125,11,-0.00,5,True,Kendrick Lamar
"{'confidence': -1.08005e-07, 'final': True}",125,11,-0.00,5,True,Kendrick Lamar
"{'confidence': -0.006628982080666666, 'final': False}",126,7,-0.01,0,False,Missy Elliott
"{'confidence': -0.0548877439431625, 'final': False}",126,13,-0.05,0,False,Gambit Weekly
"{'confidence': -0.0041417063306625, 'final': False}",126,17,-0.00,0,False,Gambit Weekly
"{'confidence': -0.246661723236, 'final': False}",126,8,-0.25,1,False,Missy Elliott discography
"{'confidence': -0.39247097707455003, 'final': False}",126,12,-0.39,1,False,One Minute Man
"{'confidence': -0.21632017249511667, 'final': False}",126,17,-0.22,1,False,7/11 (song)
"{'confidence': -0.43282470425, 'final': False}",126,22,-0.43,1,False,"""7 Rings"""
"{'confidence': -0.07886586316784777, 'final': False}",126,25,-0.08,1,False,Last Friday Night (T.G.I.F)
"{'confidence': -0.0006205380562811111, 'final': True}",126,29,-0.00,1,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.012227880353863333, 'final': False}",126,7,-0.01,2,False,Last Friday Night (T.G.I.F)
"{'confidence': -0.000678213924658889, 'final': True}",126,13,-0.00,2,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.05843736109713273, 'final': False}",126,18,-0.06,2,False,"""Last Friday Night (T.G.I.F.)"""
