page,question,evidence,word,weight,sentence,final
The other operator,120,"{'confidence': 0.05085179954767227, 'final': False}",20,0.05,0,False
The other operator,120,"{'confidence': 0.014033137820661068, 'final': False}",39,0.01,0,False
operator,120,"{'confidence': 0.015758071094751358, 'final': False}",40,0.02,0,False
The other operator,120,"{'confidence': 0.007959463633596897, 'final': False}",23,0.01,1,False
The other operator,120,"{'confidence': 0.006253651808947325, 'final': False}",42,0.01,1,False
The other operator,120,"{'confidence': 0.005900326184928417, 'final': False}",44,0.01,1,False
The other operator,120,"{'confidence': 0.003394778585061431, 'final': False}",16,0.00,2,False
The other operator,120,"{'confidence': 0.0018463267479091883, 'final': False}",18,0.00,3,False
"retransmitting ""How are you receiving me?""",120,"{'confidence': 0.000674224051181227, 'final': False}",17,0.00,4,False
"How are you receiving me?""",120,"{'confidence': 0.0007878837059251964, 'final': False}",30,0.00,4,False
"How are you receiving me?""",120,"{'confidence': 0.0007878837059251964, 'final': False}",30,0.00,4,False
automail,121,"{'confidence': 0.0484749935567379, 'final': False}",18,0.05,0,False
automail,121,"{'confidence': 0.04820079356431961, 'final': False}",25,0.05,0,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.01658356562256813, 'final': False}",18,0.02,1,False
automail for and attaches them to him.,121,"{'confidence': 0.02564874105155468, 'final': False}",33,0.03,1,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.020002400502562523, 'final': False}",36,0.02,1,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.017202747985720634, 'final': False}",16,0.02,2,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.009037503041327, 'final': False}",33,0.01,2,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.006681474391371012, 'final': False}",34,0.01,2,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.0026568355970084667, 'final': False}",19,0.00,3,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.0022901995107531548, 'final': False}",27,0.00,3,False
Winry reveals she has prepared a new automail,121,"{'confidence': 0.0005097067914903164, 'final': False}",15,0.00,4,False
automail,121,"{'confidence': 0.00038993702037259936, 'final': False}",26,0.00,4,False
automail,121,"{'confidence': 0.00038993702037259936, 'final': False}",26,0.00,4,False
Far From Nowhere,122,"{'confidence': 0.19740568101406097, 'final': False}",16,0.20,0,False
Marissa Ponticorvo,122,"{'confidence': 0.06314259767532349, 'final': False}",21,0.06,0,False
Far From Nowhere,122,"{'confidence': 0.07589749991893768, 'final': False}",20,0.08,1,False
Far From Nowhere,122,"{'confidence': 0.049986910074949265, 'final': False}",28,0.05,1,False
Aruna Red Letter,122,"{'confidence': 0.03810346871614456, 'final': False}",17,0.04,2,False
Aruna Red Letter,122,"{'confidence': 0.020818263292312622, 'final': False}",23,0.02,2,False
Aruna Red Letter,122,"{'confidence': 0.027831463143229485, 'final': False}",18,0.03,3,False
Aruna Red Letter,122,"{'confidence': 0.012288499623537064, 'final': False}",22,0.01,3,False
Aruna Red Letter Tim Corley Far From Nowhere,122,"{'confidence': 0.014384850859642029, 'final': False}",20,0.01,4,False
Aruna Red Letter Tim Corley Far From Nowhere,122,"{'confidence': 0.01291583850979805, 'final': False}",25,0.01,4,False
Aruna Red Letter Tim Corley Far From Nowhere,122,"{'confidence': 0.01291583850979805, 'final': False}",25,0.01,4,False
.,123,"{'confidence': 0.05397758632898331, 'final': False}",18,0.05,0,False
"The address received over 100,000 keylogs in the first day alone",123,"{'confidence': 0.015549138188362122, 'final': False}",24,0.02,0,False
The address,123,"{'confidence': 0.009219382889568806, 'final': False}",18,0.01,1,False
The address,123,"{'confidence': 0.008341560140252113, 'final': False}",32,0.01,1,False
The address,123,"{'confidence': 0.004127173218876123, 'final': False}",17,0.00,2,False
The address,123,"{'confidence': 0.00481394212692976, 'final': False}",20,0.00,2,False
The address,123,"{'confidence': 0.0017153120134025812, 'final': False}",17,0.00,3,False
"The address received over 100,000 keylogs in the first day alone",123,"{'confidence': 0.0005542173166759312, 'final': False}",29,0.00,3,False
"The address received over 100,000 keylogs in the first day alone",123,"{'confidence': 0.0005542173166759312, 'final': False}",29,0.00,3,False
Rousseau changed the message to her own distress call.,124,"{'confidence': 0.10538408160209656, 'final': False}",20,0.11,0,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.042487386614084244, 'final': False}",35,0.04,0,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.028769005089998245, 'final': False}",16,0.03,1,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.03128918260335922, 'final': False}",19,0.03,2,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.023290056735277176, 'final': False}",36,0.02,2,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.01663019508123398, 'final': False}",20,0.02,3,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.01674102619290352, 'final': False}",21,0.02,3,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.00952707976102829, 'final': False}",19,0.01,4,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.009865858592092991, 'final': False}",20,0.01,4,False
Rousseau changed the message to her own distress call,124,"{'confidence': 0.009865858592092991, 'final': False}",20,0.01,4,False
