final,page,weight,question,word,evidence,sentence
False,Selmer Bringsjord,-0.00,170,4,"{'confidence': -1.4301908666666668e-05, 'final': False}",0
True,Turing Test,-0.00,170,10,"{'confidence': -0.0017582664800000001, 'final': True}",0
True,Turing Test,-0.00,170,15,"{'confidence': -0.0008082330013333334, 'final': True}",0
True,Turing Test,-0.00,170,18,"{'confidence': -0.00030888859466666666, 'final': True}",0
False,Turing Test,-0.00,170,5,"{'confidence': -0.004977865832833333, 'final': False}",1
True,Turing Test,-0.00,170,9,"{'confidence': -2.8102202000000002e-05, 'final': True}",1
True,Turing Test,-0.00,170,13,"{'confidence': -0.00013667106553333334, 'final': True}",1
True,Turing Test,-0.00,170,15,"{'confidence': -8.870677433333333e-06, 'final': True}",1
True,Turing Test,-0.00,170,6,"{'confidence': -2.672086566666666e-06, 'final': True}",2
True,Turing Test,-0.00,170,10,"{'confidence': -1.6787227333333334e-06, 'final': True}",2
True,Turing Test,-0.00,170,6,"{'confidence': -4.5793451e-06, 'final': True}",3
True,Turing Test,-0.00,170,13,"{'confidence': -1.8773955333333333e-06, 'final': True}",3
True,Turing Test,-0.00,170,15,"{'confidence': -2.7912904333333335e-06, 'final': True}",3
True,Turing Test,-0.00,170,5,"{'confidence': -6.645541899999999e-06, 'final': True}",4
True,Turing Test,-0.00,170,11,"{'confidence': -6.0097893333333335e-06, 'final': True}",4
True,Turing Test,-0.00,170,18,"{'confidence': -8.354127766666667e-06, 'final': True}",4
True,Turing Test,-0.00,170,23,"{'confidence': -4.857487133333333e-06, 'final': True}",4
True,Turing Test,-0.00,170,28,"{'confidence': -9.0693502e-06, 'final': True}",4
True,Turing Test,-0.00,170,34,"{'confidence': -2.129266155e-05, 'final': True}",4
True,Turing Test,-0.00,170,41,"{'confidence': -7.896310433333333e-07, 'final': True}",4
True,Turing Test,-0.00,170,43,"{'confidence': -9.8830375e-07, 'final': True}",4
True,Turing Test,-0.00,170,43,"{'confidence': -4.866861e-07, 'final': True}",4
False,Three Laws Lethal,-0.00,171,7,"{'confidence': -9.034312786e-05, 'final': False}",0
False,Artificial intelligence,-0.02,171,12,"{'confidence': -0.021178277333333332, 'final': False}",0
False,Self-driving car,-0.16,171,17,"{'confidence': -0.1625716145, 'final': False}",0
False,Self-driving car,-0.27,171,18,"{'confidence': -0.27347648760544335, 'final': False}",0
False,Self-driving car,-0.26,171,7,"{'confidence': -0.26346356901333334, 'final': False}",1
False,Self-driving car,-0.26,171,13,"{'confidence': -0.2632657032103333, 'final': False}",1
False,Self-driving car,-0.39,171,19,"{'confidence': -0.3878007556604333, 'final': False}",1
False,Self-driving car,-0.11,171,25,"{'confidence': -0.10759593400666667, 'final': False}",1
False,Self-driving car,-0.27,171,31,"{'confidence': -0.26597116374121665, 'final': False}",1
False,Self-driving car,-0.23,171,31,"{'confidence': -0.22733817020421665, 'final': False}",1
False,Self-driving car,-0.22,171,8,"{'confidence': -0.2156770337412167, 'final': False}",2
False,Self-driving car,-0.50,171,14,"{'confidence': -0.4983978333888333, 'final': False}",2
