model_buzz,qid,sentence,run_id,model_guess,model_correctness
A mixture of elements with different values of this quantity can react to form a molecule with a value for this quantity between those of the reactants in,187,A mixture of elements with different values of this quantity can react to form a molecule with a value for this quantity between those of the reactants in a comproportionation reaction.,0,Electronegativity,False
"A narrator contrasts ""just"" and ""unjust"" versions of",29,"A narrator contrasts ""just"" and ""unjust"" versions of one of these places whose futures are ""already present in this instant.""",1,Republic (Plato),False
The,138,"The Ashtamangala, or Eight Auspicious Signs, includes a golden pair of these animals.",1,Frogs,False
The largest railroad strike since the Pullman Strike,56,The largest railroad strike since the Pullman Strike took place in this decade and was primarily led by shopmen.,1,1920s,True
"That poem by this author is set on Hellespont and opens,",15,"That poem by this author is set on Hellespont and opens, ""Guilty of true love's blood.""",1,Lord Byron,False
"Jacques Derrida first coined the word ""différance"" in",155,"Jacques Derrida first coined the word ""différance"" in a book responding to Michel Foucault's Madness and Civilization and partially titled for this statement.",1,Deconstruction,False
"This city's name originates from Gajah Mada's Palapa Oath, which stated that he",220,"This city's name originates from Gajah Mada's Palapa Oath, which stated that he would not rest until the Majapahit Dynasty united a certain archipelago.",1,Jakarta,False
Mutation of APC can cause this organ to take,174,"Mutation of APC can cause this organ to take on a bumpy interior appearance due to familial adenomatous polyposis, or FAP.",1,Colon (anatomy),True
"This man stated, ""Greatness is not to be measured in stockpiles of atomic bombs,"" and noted that the Founding Fathers rose above the ""petty wranglings of separate",79,"This man stated, ""Greatness is not to be measured in stockpiles of atomic bombs,"" and noted that the Founding Fathers rose above the ""petty wranglings of separate states.""",0,Dwight D. Eisenhower,False
This composer drew from Frescobaldi for a,103,This composer drew from Frescobaldi for a collection of wind quintet pieces.,2,György Ligeti,True
A site in this country was where a tunnel complex was,91,A site in this country was where a tunnel complex was discovered during setup for a light show.,1,United States,False
Characters with this job inspired a movie remake,126,"Characters with this job inspired a movie remake about ""magnificent"" people with a different profession.",4,Samurai,True
The,212,The atmospheres of these objects were the first location where it was hypothesized that stabilized excited electrons could cause chemical bonds to rearrange orthogonal to the field.,1,Neutron star,False
Figures of oblivion and envy appear in a,115,Figures of oblivion and envy appear in a painting partly named for this figure and her son.,1,The Birth of Venus,True
That,40,"That musician cries out that ""the lion has walked!""",1,Macbeth (character),False
"In one myth, the turtle god Kim Qui orders a",146,"In one myth, the turtle god Kim Qui orders a man to return one of these objects gifted to him by the Dragon King.",1,Vietnamese mythology,False
"An account of living in concentration camps is titled after ""Man's Search For"", for 10 points, what concept studied by Victor Frankl?",165,"An account of living in concentration camps is titled after ""Man's Search For"", for 10 points, what concept studied by Victor Frankl?",4,Meaning (philosophy),True
A character in this play tells a man that he,8,A character in this play tells a man that he is an accomplice just for hearing the plans for a burglary that occurs between this play's two acts.,1,Rosencrantz and Guildenstern Are Dead,False
as,67,as his brother betrayed him.,1,Ethnic Egyptians,False
In a certain two-dimensional model with circular symmetry that can model Josephson junction,199,"In a certain two-dimensional model with circular symmetry that can model Josephson junction arrays, one of these phenomena occurs with a certain parameter equal to infinity.",1,Phase transitions,True
