final,weight,sentence,word,question,evidence,page
False,0.02,0,18,150,"{'confidence': 0.021422233432531357, 'final': False}",operator
False,0.01,0,24,150,"{'confidence': 0.013472015969455242, 'final': False}",The other operator
False,0.01,1,18,150,"{'confidence': 0.009031504392623901, 'final': False}",The other operator
False,0.01,1,26,150,"{'confidence': 0.009133587591350079, 'final': False}",The other operator
False,0.01,2,19,150,"{'confidence': 0.007105439901351929, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.01,2,29,150,"{'confidence': 0.00872789602726698, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.01,3,20,150,"{'confidence': 0.005016161594539881, 'final': False}",The other operator
False,0.00,3,27,150,"{'confidence': 0.003916705027222633, 'final': False}",The other operator
False,0.00,3,27,150,"{'confidence': 0.003916705027222633, 'final': False}",The other operator
False,0.05,0,13,151,"{'confidence': 0.05062389746308327, 'final': False}",The other operator
False,0.03,1,18,151,"{'confidence': 0.03400951996445656, 'final': False}",The other operator
False,0.02,1,27,151,"{'confidence': 0.015170500613749027, 'final': False}",The other operator
False,0.08,2,10,151,"{'confidence': 0.07709062844514847, 'final': False}",The other operator
False,0.02,3,4,151,"{'confidence': 0.017889775335788727, 'final': False}","""How are you receiving me?"""
False,0.01,4,19,151,"{'confidence': 0.011433099396526814, 'final': False}","""How are you receiving me?"""
False,0.01,4,34,151,"{'confidence': 0.011043799109756947, 'final': False}",The other operator
False,0.01,4,34,151,"{'confidence': 0.011043799109756947, 'final': False}",The other operator
False,0.01,0,18,152,"{'confidence': 0.011299057863652706, 'final': False}",Japanese
False,0.01,0,30,152,"{'confidence': 0.012493959628045559, 'final': False}",Japanese
False,0.01,1,22,152,"{'confidence': 0.011615055613219738, 'final': False}",Japanese
False,0.01,1,39,152,"{'confidence': 0.010681032203137875, 'final': False}",Japanese Naval Cipher
False,0.01,1,47,152,"{'confidence': 0.00863155722618103, 'final': False}",Japanese
False,0.00,2,15,152,"{'confidence': 0.003857375355437398, 'final': False}",Japanese Naval Cipher
False,0.01,2,21,152,"{'confidence': 0.005025693215429783, 'final': False}",Japanese Naval Cipher
False,0.01,3,16,152,"{'confidence': 0.00537523441016674, 'final': False}",Japanese Naval Cipher
False,0.01,3,16,152,"{'confidence': 0.00537523441016674, 'final': False}",Japanese Naval Cipher
False,0.01,0,21,153,"{'confidence': 0.013853805139660835, 'final': False}",operator
False,0.01,0,30,153,"{'confidence': 0.014838960021734238, 'final': False}",operator
False,0.01,1,20,153,"{'confidence': 0.009606024250388145, 'final': False}",The other operator
False,0.01,1,24,153,"{'confidence': 0.010240505449473858, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.01,2,18,153,"{'confidence': 0.009929025545716286, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.01,3,19,153,"{'confidence': 0.006613458972424269, 'final': False}",The other operator
False,0.00,3,29,153,"{'confidence': 0.00452207587659359, 'final': False}","How are you receiving me?"""
False,0.00,4,16,153,"{'confidence': 0.002789547899737954, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.00,4,16,153,"{'confidence': 0.002789547899737954, 'final': False}","retransmitting ""How are you receiving me?"""
False,0.13,0,18,154,"{'confidence': 0.12568707764148712, 'final': False}",SMS
False,0.09,0,27,154,"{'confidence': 0.09244874864816666, 'final': False}",SMS
False,0.04,1,17,154,"{'confidence': 0.0404014065861702, 'final': False}",SMS
False,0.05,1,24,154,"{'confidence': 0.04523198679089546, 'final': False}",SMS
False,0.05,2,18,154,"{'confidence': 0.04612487182021141, 'final': False}",SMS
False,0.05,2,32,154,"{'confidence': 0.05213615298271179, 'final': False}",SMS
False,0.04,3,20,154,"{'confidence': 0.03636635094881058, 'final': False}",SMS
False,0.05,3,21,154,"{'confidence': 0.047012809664011, 'final': False}",SMS
False,0.03,4,17,154,"{'confidence': 0.028067585080862045, 'final': False}",SMS
False,0.03,4,17,154,"{'confidence': 0.028067585080862045, 'final': False}",SMS
