final,page,weight,sentence,word,question,evidence,correctness
False,[HIDDEN],0.4,0,7,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.3,0,14,1,"{'confidence': 0.3, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.6,0,21,1,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,0,28,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,1,0,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,1,7,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,1,14,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,1,21,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.4,2,0,1,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.6,2,7,1,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.6,2,14,1,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.3,3,0,1,"{'confidence': 0.3, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': False}",False
False,[HIDDEN],0.6,3,7,1,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': True}",True
False,[HIDDEN],0.7,3,14,1,"{'confidence': 0.7, 'final': False, 'ground_truth': 'Franz Kafka', 'is_correct': True}",True
True,Franz Kafka,0.8,4,0,1,"{'confidence': 0.8, 'final': True, 'ground_truth': 'Franz Kafka', 'is_correct': True}",True
True,Franz Kafka,0.9,0,0,1,"{'confidence': 0.9, 'final': True, 'ground_truth': 'Franz Kafka', 'is_correct': True}",True
False,[HIDDEN],0.4,0,7,2,"{'confidence': 0.4, 'final': False, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': False}",False
False,[HIDDEN],0.7,0,14,2,"{'confidence': 0.7, 'final': False, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
False,[HIDDEN],0.6,1,0,2,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
False,[HIDDEN],0.6,1,7,2,"{'confidence': 0.6, 'final': False, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
False,[HIDDEN],0.7,1,14,2,"{'confidence': 0.7, 'final': False, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
True,Israel Defense Forces (IDF),0.8,1,15,2,"{'confidence': 0.8, 'final': True, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
True,Israel Defense Forces (IDF),0.9,7,7,2,"{'confidence': 0.9, 'final': True, 'ground_truth': 'Israel Defense Forces (IDF)', 'is_correct': True}",True
False,[HIDDEN],0.4,0,7,3,"{'confidence': 0.4, 'final': False, 'ground_truth': 'bones', 'is_correct': False}",False
False,[HIDDEN],0.6,0,14,3,"{'confidence': 0.6, 'final': False, 'ground_truth': 'bones', 'is_correct': False}",False
