answer,text
New York City,"Isaac Sears tried to stop British soldiers from posting propaganda in this city in the Battle of Golden Hill, and Benjamin Tallmadge set up the Culper Ring spy network here during the Revolutionary War. The Buttonwood Agreement established an institution in this city, where the (*) Roach Guards fought the Bowery Boys in a clash between anti-Catholic and Irish gangs. For 10 points, name this city that was occupied by the British in the wake of the Battle of Long Island and whose stock exchange was founded near Wall Street."
John C. Fremont,"This man ordered Thomas Larkin to buy him seventy square miles of land, leading him to acquire his Mariposa gold mine. He married Jessie, the daughter of Thomas Hart Benton, and, during the Civil War, he controversially confiscated slaveholder property while acting as the leader of (*) Missouri. Kit Carson served as the guide for the first two of his expeditions to survey the American West. For 10 points, name this explorer known as ""the Pathfinder"" who was also the first presidential candidate of the Republican Party."
Richard Nixon,"In one speech, this man quoted Theodore Roosevelt's speech ""Citizenship in a Republic"" in its description of a ""Man in the Arena."" Bebe Rebozo was a confidante of this man, who established a namesake doctrine in Guam that proclaimed that it was not America's job to defend the free nations of the world. He was the defendant in a supreme court case in which Leon (*) Jaworski asked him to hand over a set of tapes including the ""Smoking Gun"" tape. For 10 points, name this president who resigned due to fallout from the Watergate Scandal."
Prince Eugene of Savoy,"This man left France because his mother, the Countess of Soissons, was implicated in the Affair of the Poisons. He used his victory at Petrovaradin to establish a siege of Belgrade, where the Ottoman garrison surrendered after just a month. This commander ambushed the Ottoman crossing of the (*) Tisza River to win the Battle of Zenta. For 10 points, name this Habsburg general who collaborated with the Duke of Marlborough to win an allied victory at the Battle of Blenheim."
Alexander II of Russia,"To celebrate a failed assassination attempt on this man, Viktor Hartmann proposed a design for the Great Gate of Kiev. A different assassination attempt on this man led to the exile of Gesya Gelfman and was carried out by a group whose name translates as ""Those of March First."" That assassination attempt involved three men carrying (*) bombs to lure this man out of a bulletproof carriage, and was masterminded by the People's Will. For 10 points, name this Russian czar assassinated in 1881, who had earlier emancipated the serfs."
Erwin Rommel,"This man assumed a defensive posture called The Cauldron and inflicted a defeat that came to be known as Black Saturday during the Battle of Gazala. Operation Crusader was launched to relieve this man's lengthy siege of the city of (*) Tobruk. Because he was implicated in the 20 July Plot, he chose to commit suicide by cyanide rather than see his family disowned. For 10 points, name this German commander of forces in North Africa, including several Panzer divisions of tanks, who was nicknamed ""The Desert Fox."""
Peru,"A leader of this country authorized Operation Chavin de Huantar to kill 14 MTRA insurgents, ending a hostage crisis at its Japanese embassy. The paramilitary Grupo Colina was active here, as was the secret police force called the SIN, which was headed by Vladimiro Montesinos. The slogan ""Change (*) 90"" was used in an election in this country, in which Mario Vargas Llosa was unexpectedly defeated by Alberto Fujimori. For 10 points, name this South American country that contains the ruins of an Incan city at Machu Picchu."
Central African Republic,"The Chained Duck revealed this nation's leader gave Valery Giscard d'Estaing two diamonds from its leader who rose to power with the help of Alexandre Banza in the Saint-Sylvestre Coup, declared himself President for Life in 1972, and was deposed in Operation Barracuda. That man executed a group of (*) children for refusing to wear uniforms displaying his face, and his rule was followed by that of David Dacko. For 10 points, name this country once led by Jean-Bedel Bokassa from its capital, Bangui."
Oda Nobunaga,"This ruler curbed the power of local officials by abolishing the collection of tolls, and he targeted the Ikko-ikki sect in his siege of the Ishiyama Hongan-ji. In one battle, he defeated a much larger force by setting up dummies so his opponent would not realize that he was attacking from the other side of a gorge. He was forced to commit (*) ritual suicide in the Honno-ji Incident, and he rose to power with victories at Nagashino and Okehazama. For 10 points, name this warlord who began the unification of Japan that was continued by Toyotomi Hideyoshi."
Sri Lanka,"The Donoughmore and Soulbury Commissions were formed to discuss the status of this island. Robert Brownrigg faced the Uva Rebellion while governor of this island, and it was where a group of Englishmen led by Gabriel Towerson were killed on the orders of the (*) Dutch East India Company in the Amboyna Massacre. The Rajapaksa family is active in the politics of this island, where a civil war erupted between the Sinhalese and the Tamil ethnic groups. For 10 points, name this island formerly called Ceylon that is found south of India."
